species,location,lifestage,drawdown rate_cm/d,50 day survival,42 day survial (mean number out of 15),medium survival_days,root growth rate_survived_mm/day,root growth rate_died_mm/day,mean depth to watertable (m),citation
pfremonti,CA Central Valley,seedling,0,0.72,NA,NA,2.17,0.95,,"Stella, J. C., Battles, J., & McBride, J. (2006). Restoring recruitment processes for riparian cottonwoods and willows: a field-calibrated predictive model for the lower San Joaquin Basin. University of California, Berkeley. Retrieved from http://www.esf.edu/fnrm/stella/website_pubs/SWS_06_CVRrpt.pdf table 4-1, table 4-3"
pfremonti,CA Central Valley,seedling,1,0.68,NA,NA,2.06,1.27,,"Stella, J. C., Battles, J., & McBride, J. (2006). Restoring recruitment processes for riparian cottonwoods and willows: a field-calibrated predictive model for the lower San Joaquin Basin. University of California, Berkeley. Retrieved from http://www.esf.edu/fnrm/stella/website_pubs/SWS_06_CVRrpt.pdf table 4-1, table 4-3"
pfremonti,CA Central Valley,seedling,3,0.12,NA,34(32-37),1.09,1.59,,"Stella, J. C., Battles, J., & McBride, J. (2006). Restoring recruitment processes for riparian cottonwoods and willows: a field-calibrated predictive model for the lower San Joaquin Basin. University of California, Berkeley. Retrieved from http://www.esf.edu/fnrm/stella/website_pubs/SWS_06_CVRrpt.pdf table 4-1, table 4-3"
pfremonti,CA Central Valley,seedling,6,0,NA,29(21-31),NA,1.4,,"Stella, J. C., Battles, J., & McBride, J. (2006). Restoring recruitment processes for riparian cottonwoods and willows: a field-calibrated predictive model for the lower San Joaquin Basin. University of California, Berkeley. Retrieved from http://www.esf.edu/fnrm/stella/website_pubs/SWS_06_CVRrpt.pdf table 4-1, table 4-3"
pfremonti,CA Central Valley,seedling,9,0.03,NA,19(16-22),NA,1.37,,"Stella, J. C., Battles, J., & McBride, J. (2006). Restoring recruitment processes for riparian cottonwoods and willows: a field-calibrated predictive model for the lower San Joaquin Basin. University of California, Berkeley. Retrieved from http://www.esf.edu/fnrm/stella/website_pubs/SWS_06_CVRrpt.pdf table 4-1, table 4-3"
sgooddingii,CA Central Valley,seedling,0,0.88,NA,NA,4.63,1.69,,"Stella, J. C., Battles, J., & McBride, J. (2006). Restoring recruitment processes for riparian cottonwoods and willows: a field-calibrated predictive model for the lower San Joaquin Basin. University of California, Berkeley. Retrieved from http://www.esf.edu/fnrm/stella/website_pubs/SWS_06_CVRrpt.pdf table 4-1, table 4-3"
sgooddingii,CA Central Valley,seedling,1,0.84,NA,NA,3.57,1.82,,"Stella, J. C., Battles, J., & McBride, J. (2006). Restoring recruitment processes for riparian cottonwoods and willows: a field-calibrated predictive model for the lower San Joaquin Basin. University of California, Berkeley. Retrieved from http://www.esf.edu/fnrm/stella/website_pubs/SWS_06_CVRrpt.pdf table 4-1, table 4-3"
sgooddingii,CA Central Valley,seedling,3,0.38,NA,45(41-na),1.69,1.68,,"Stella, J. C., Battles, J., & McBride, J. (2006). Restoring recruitment processes for riparian cottonwoods and willows: a field-calibrated predictive model for the lower San Joaquin Basin. University of California, Berkeley. Retrieved from http://www.esf.edu/fnrm/stella/website_pubs/SWS_06_CVRrpt.pdf table 4-1, table 4-3"
sgooddingii,CA Central Valley,seedling,6,0.05,NA,34(29-35),0.71,1.36,,"Stella, J. C., Battles, J., & McBride, J. (2006). Restoring recruitment processes for riparian cottonwoods and willows: a field-calibrated predictive model for the lower San Joaquin Basin. University of California, Berkeley. Retrieved from http://www.esf.edu/fnrm/stella/website_pubs/SWS_06_CVRrpt.pdf table 4-1, table 4-3"
sgooddingii,CA Central Valley,seedling,9,0,NA,21(29-35),NA,1.45,,"Stella, J. C., Battles, J., & McBride, J. (2006). Restoring recruitment processes for riparian cottonwoods and willows: a field-calibrated predictive model for the lower San Joaquin Basin. University of California, Berkeley. Retrieved from http://www.esf.edu/fnrm/stella/website_pubs/SWS_06_CVRrpt.pdf table 4-1, table 4-3"
sexigua,CA Central Valley,seedling,0,0.66,NA,NA,3.08,1.02,,"Stella, J. C., Battles, J., & McBride, J. (2006). Restoring recruitment processes for riparian cottonwoods and willows: a field-calibrated predictive model for the lower San Joaquin Basin. University of California, Berkeley. Retrieved from http://www.esf.edu/fnrm/stella/website_pubs/SWS_06_CVRrpt.pdf table 4-1, table 4-3"
sexigua,CA Central Valley,seedling,1,0.64,NA,NA,1.88,1.13,,"Stella, J. C., Battles, J., & McBride, J. (2006). Restoring recruitment processes for riparian cottonwoods and willows: a field-calibrated predictive model for the lower San Joaquin Basin. University of California, Berkeley. Retrieved from http://www.esf.edu/fnrm/stella/website_pubs/SWS_06_CVRrpt.pdf table 4-1, table 4-3"
sexigua,CA Central Valley,seedling,3,0.26,NA,35(21-42),1.41,1.06,,"Stella, J. C., Battles, J., & McBride, J. (2006). Restoring recruitment processes for riparian cottonwoods and willows: a field-calibrated predictive model for the lower San Joaquin Basin. University of California, Berkeley. Retrieved from http://www.esf.edu/fnrm/stella/website_pubs/SWS_06_CVRrpt.pdf table 4-1, table 4-3"
sexigua,CA Central Valley,seedling,6,0.02,NA,25(21-34),na,1.15,,"Stella, J. C., Battles, J., & McBride, J. (2006). Restoring recruitment processes for riparian cottonwoods and willows: a field-calibrated predictive model for the lower San Joaquin Basin. University of California, Berkeley. Retrieved from http://www.esf.edu/fnrm/stella/website_pubs/SWS_06_CVRrpt.pdf table 4-1, table 4-3"
