ID,River,Type,Scour depth (m)1,Easting (m)2,Northing (m)2,Elevation (m)3,Species4,Depth to water table (m),Density (m-1),Height (m),Basal diameter (m),Frontal area (m2),Pullout force (N) ,Break5,Root frontal area (m2),Depth to highest root density (m),Root length (m)6
60.6,BR,Pull test,0,252656.715,283970.31,964.065,P,1.18,0.03,0.46,0.00311,0.00096,54.7,1,NA,NA,0.032
60.7,BR,Pull test,0,252654.412,283955.117,963.927,P,1.02,0.03,0.315,0.00871,0.00814,175.1,1,NA,NA,0.13
60.8,BR,Excavated,0,252652.134,283949.328,963.75,P,0.84,0.03,0.508,0.01169,0.02848,NA,NA,0.00915,0.31,0.05
60.9,BR,Pull test,0,252654.766,283945.356,963.79,P,0.87,0.03,0.522,0.0107,0.02391,615.7,1,NA,NA,0.175
60.1,BR,Pull test,0,252657.073,283945.771,963.908,P,0.99,0.03,0.735,0.01415,0.08733,491.5,0,NA,NA,0.27
60.11,BR,Pull test,0,252653.759,283946.656,963.734,P,0.99,0.03,0.16,0.00666,0.00332,145.5,1,NA,NA,0.06
62.1,BR,Pull test,0,252644.057,283962.35,963.627,P,0.73,0.04,0.94,0.01612,0.00978,1014.9,0,NA,NA,0.28
62.2,BR,Pull test,0,252644.64,283960.943,963.627,P,0.73,0.04,0.375,0.00473,0.00339,162.9,1,NA,NA,0.185
62.3,BR,Pull test,0,252642.096,283961.695,963.733,P,0.83,0.04,0.555,0.00884,0.01553,328.5,1,NA,NA,0.125
62.4,BR,Excavated,0,252641.855,283964.645,963.754,P,0.86,0.04,0.72,0.01991,0.08306,NA,NA,NA,NA,0.485
62.5,BR,Pull test,0,252643.426,283968.319,963.706,P,0.82,0.04,0.13,0.00263,0.00090,16.9,1,NA,NA,0.058
62.6,BR,Pull test,0,252640.852,283972.196,963.765,P,0.88,0.04,0.73,0.0151,0.07608,994.7,1,NA,NA,0.21
62.7,BR,Pull test,0,252642.549,283975.184,963.732,P,0.85,0.04,0.265,0.00372,0.00173,92.7,1,NA,NA,0.06
62.8,BR,Excavated,0,252642.014,283979.638,963.743,P,0.87,0.04,0.49,0.00881,0.02157,NA,0,0.00621,0.14,0.35
62.9,BR,Pull test,0,252642.028,283982.763,963.684,P,0.81,0.04,0.34,0.00811,0.01897,284.9,1,NA,NA,0.03
62.1,BR,Pull test,0,252639.033,283985.209,963.75,P,0.88,0.04,0.47,0.0082,0.00827,187.6,1,NA,NA,0
62.11,BR,Pull test,0,252642.742,283988.952,963.646,P,0.78,0.04,0.43,0.01023,0.02795,434.1,0,NA,NA,0.17
62.12,BR,Excavated,0,252643.996,283992.88,963.612,P,0.75,0.04,0.38,0.00968,0.03307,NA,NA,0.01926,0.18,0.48
62.13,BR,Pull test,0,252643.676,283997.449,963.603,P,0.75,0.04,0.355,0.00635,0.00500,292.7,1,NA,NA,0.195
62.14,BR,Pull test,0,252643.03,284001.725,963.616,P,0.77,0.04,0.27,0.00664,0.00480,90.3,1,NA,NA,0.02
19.1,BR,Pull test,0,252688.678,283896.357,963.787,P,0.84,0.08,0.255,0.01427,0.01529,208.3,1,NA,NA,0
19.2,BR,Pull test,0,252688.011,283891.722,963.857,P,0.91,0.08,0.4,0.02682,0.07973,1828.0,1,NA,NA,0
19.3,BR,Pull test,0,252689.316,283887.107,963.922,P,0.96,0.08,0.41,0.00649,0.01864,389.2,1,NA,NA,0.065
19.4a,BR,Excavated,0,252689.215,283884.151,963.925,P,0.96,0.08,0.645,0.0113,0.20285,NA,NA,NA,NA,0.52
19.4b,BR,Excavated,0,252689.215,283884.151,963.925,P,0.96,0.08,0.645,0.01625,NA,NA,NA,NA,NA,0.56
20.1,BR,Pull test,0,252691.092,283888.112,963.914,P,0.95,0.01,0.085,0.00294,0.00055,34.7,1,NA,NA,0.087
20.2,BR,Pull test,0,252691.544,283885.225,964.052,P,1.09,0.01,0.18,0.00455,0.00286,73.5,1,NA,NA,0.1
20.3,BR,Pull test,0,252691.395,283883.39,964.04,P,1.07,0.01,0.195,0.00434,0.00239,88.5,1,NA,NA,0.078
20.4,BR,Excavated,0,252690.192,283881.557,964.017,P,1.05,0.01,0.395,0.00505,0.00018,NA,NA,0.00723,0.09,0.53
20.5,BR,Pull test,0,252690.605,283878.969,964.083,P,1.12,0.01,0.04,0.00135,NA,NA,NA,NA,NA,NA
20.6,BR,Pull test,0,252690.618,283879.025,964.015,P,1.04,0.01,0.095,0.00221,0.00059,NA,1,NA,NA,0
20.7,BR,Pull test,0,252690.61,283875.589,964.047,P,1.07,0.01,0.105,0.00183,0.00025,NA,1,NA,NA,0
20.8,BR,Pull test,0,252691.293,283873.517,964.087,P,1.1,0.01,0.145,0.00272,0.00144,44.1,1,NA,NA,0
20.9,BR,Excavated,0,252688.712,283873.379,964.173,P,1.19,0.01,0.225,0.00471,0.00288,NA,NA,0.00585,0.19,0.405
20.1,BR,Pull test,0,252689.162,283872.366,964.155,P,1.19,0.01,0.325,0.02243,0.05656,1885.3,0,NA,NA,0.35
20.11,BR,Pull test,0,252689.555,283871.658,964.134,P,1.15,0.01,0.305,0.00679,0.00533,184.3,1,NA,NA,0.028
20.12,BR,Pull test,0,252689.747,283870.254,964.138,P,1.15,0.01,0.145,0.00318,0.00110,NA,1,NA,NA,0.11
25.1,BR,Pull test,0,252684.072,283870.523,963.773,P,0.77,NA,0.24,0.00687,0.00962,269.2,1,NA,NA,0.11
25.2,BR,Pull test,0,252679.619,283865.871,963.641,P,0.62,NA,0.006,0.00084,0.00005,NA,0,NA,NA,0
25.3,BR,Pull test,0,252680.788,283860.019,963.617,P,0.6,NA,0.009,0.00073,0.00006,NA,0,NA,NA,0
25.4,BR,Excavated,0,252678.256,283856.226,963.59,P,0.56,NA,0.009,0.00088,0.00003,NA,NA,NA,NA,0.225
25.5,BR,Pull test,0,252682.716,283844.406,963.614,P,0.57,NA,0.008,0.00082,0.00005,NA,0,NA,NA,0.016
25.6,BR,Pull test,0,252680.572,283846.946,963.499,P,0.46,NA,0.022,0.0115,0.00088,54.3,1,NA,NA,0.115
25.7,BR,Pull test,0,252681.218,283844.443,963.526,P,0.48,NA,0.026,0.0135,0.00081,NA,1,NA,NA,0.065
26.1,BR,Pull test,0,252678.043,283843.162,963.894,P,0.85,0.02,0.305,0.0035,0.00407,91.5,1,NA,NA,0.2
26.2,BR,Pull test,0,252679.531,283837.704,963.803,P,0.76,0.02,0.32,0.00516,0.00669,157.5,0,NA,NA,0.27
26.3,BR,Pull test,0,252681.746,283833.476,963.895,P,0.84,0.02,0.09,0.00142,0.00060,NA,1,NA,NA,0.045
26.4,BR,Excavated,0,252683.231,283830.213,964.026,P,0.97,0.02,0.39,0.01155,0.01410,NA,NA,0.01689,0.25,0.485
26.5,BR,Pull test,0,252683.117,283824.218,964.045,P,0.98,0.02,0.43,0.01149,0.01604,552.9,1,NA,NA,0.23
26.6,BR,Pull test,0,252680.361,283817.861,964.038,P,0.95,0.02,0.3,0.01106,NA,294.5,NA,NA,NA,0.035
26.7,BR,Pull test,0,252682.032,283809.845,964.288,P,1.18,0.02,0.335,0.0158,0.04192,640.1,1,NA,NA,0.29
26.8,BR,Excavated,0,252682.795,283805.115,964.383,P,1.18,0.02,0.255,0.00528,0.00754,NA,NA,0.00762,0.29,0.44
26.9,BR,Pull test,0,252679.521,283803.266,964.169,P,1.04,0.02,0.12,0.00269,0.00043,71.5,1,NA,NA,0.095
26.1,BR,Pull test,0,252680.148,283799.801,964.222,P,1.08,0.02,0.135,0.00501,0.00160,97.4,1,NA,NA,0.035
26.11,BR,Pull test,0,252679.062,283790.734,964.303,P,1.14,0.02,0.36,0.00588,0.00814,219.0,1,NA,NA,0.073
26.12,BR,Excavated,0,252676.658,283774.891,964.323,P,1.11,0.02,0.15,0.00365,0.00189,NA,NA,0.00193,0.27,0.32
26.13,BR,Pull test,0,252675.265,283771.764,964.315,P,1.09,0.02,0.375,0.00894,0.00742,259.8,1,NA,NA,NA
26.14,BR,Pull test,0,252676.959,283766.744,964.237,P,1,0.02,0.22,0.00628,0.00331,170.7,1,NA,NA,0.07
BWR1.1,BWR,Pull test,0,245798.355,3791699.841,240.019,T,0.1,NA,0.695,0.01639,0.01406,164.3,0,NA,NA,0.29
BWR1.2,BWR,Pull test,0,245794.099,3791700.015,240.051,T,0.11,NA,1.607,0.06527,0.09459,1234.4,0,0.03098,0.11,0.64
BWR1.3,BWR,Pull test,0,245800.759,3791701.512,240.028,T,0.08,NA,1.031,0.04139,0.10641,530.4,0,0.02131,0.21,0.54
BWR1.4,BWR,Excavated,0,245800.34,3791701.184,240.013,T,0.06,NA,0.763,0.04024,0.01239,NA,NA,NA,NA,NA
BWR1.5,BWR,Excavated,0,NA,NA,NA,T,NA,NA,0.969,0.02668,NA,NA,NA,NA,NA,0.49
BWR1.6,BWR,Excavated,0,NA,NA,NA,T,NA,NA,0.969,0.01058,0.01598,NA,NA,0.00647,0.38,0.49
BWR1.7,BWR,Pull test,0,245795.244,3791697.172,240.028,P,0.14,NA,2.62,0.025,0.32372,631.2,0,NA,NA,0.63
BWR1.8,BWR,Pull test,0,245798.492,3791699.299,240.054,P,0.13,NA,1.658,0.0257,0.13552,1371.7,0,0.05363,0.17,0.735
BWR1.9,BWR,Pull test,0,245780.3,3791699.134,239.98,T,0.05,NA,1.922,0.07533,0.09405,618.8,0,NA,NA,0.615
BWR2.1,BWR,Pull test,0,245773.707,3791697.048,239.97,T,0.06,NA,2.21,0.06268,0.06340,716.7,0,NA,NA,0.465
BWR2.2,BWR,Pull test,0,245773.344,3791696.036,240.091,T,0.19,NA,1.512,0.04873,0.03935,773.2,0,NA,NA,0.44
BWR2.3,BWR,Pull test,0,245772.419,3791695.778,239.995,T,0.09,NA,1.22,0.02152,0.04408,NA,1,NA,NA,0.665
BWR2.4,BWR,Pull test,0,245772.481,3791695.019,239.982,T,0.09,NA,1.86,0.02217,0.07917,838.3,0,NA,NA,0.475
BWR2.5,BWR,Pull test,0,245770.793,3791693.245,239.877,T,-0.01,NA,0.95,0.00662,0.00914,201.2,0,0.00670,0.09,0.35
BWR2.6,BWR,Pull test,0,245770.142,3791692.358,239.945,T,0.06,NA,0.829,0.02871,0.01612,395.6,0,0.00899,0.31,0.485
BWR2.7,BWR,Pull test,0,245772.107,3791697.146,239.864,T,-0.04,NA,0.692,0.00627,0.00852,102.1,0,NA,NA,0.535
BWR2.8,BWR,Pull test,0,245772.03,3791697.265,239.892,T,-0.01,NA,0.995,0.01854,0.00738,183.0,1,NA,NA,0.34
BWR2.9,BWR,Pull test,0,245770.591,3791693.135,239.921,T,0.04,NA,1.05,0.02495,0.02578,408.1,0,NA,NA,0.57
BWR2.10,BWR,Pull test,0,245769.408,3791692.743,239.902,T,0.02,NA,2.32,0.03464,0.06571,863.4,0,NA,NA,0.695
BWR2.11,BWR,Excavated,0,245770.407,3791693.074,239.865,T,-0.01,NA,0.392,0.00706,0.00307,NA,NA,0.00390,0.19,0.468
BWR2.12,BWR,Pull test,0,245768.845,3791692.067,239.881,T,0,NA,1.3,0.01898,0.01983,355.3,0,NA,NA,0.463
BWR2.13,BWR,Pull test,0,245770.798,3791693.086,239.878,T,0,NA,1.31,0.01986,0.01421,277.5,0,NA,NA,0.445
BWR2.14,BWR,Pull test,0,245773.26,3791697.801,239.928,T,0.02,NA,0.625,0.00474,0.00823,274.3,1,NA,NA,0
BWR2.15,BWR,Excavated,0,245776.642,3791697.829,239.914,T,0,NA,1.185,0.06225,0.09675,NA,NA,0.01829,0.33,0.69
BWR2.16,BWR,Pull test,0,245771.038,3791694.23,239.98,T,0.09,NA,1.43,0.0178,0.04604,526.5,0,NA,NA,0.395
BWR2.17,BWR,Pull test,0,245772.021,3791697.404,240.007,T,0.1,NA,1,0.0194,0.02720,153.8,1,NA,NA,0.325
BWR2.18,BWR,Pull test,0.2,245771.912,3791697.122,240.017,T,0.11,NA,0.8,0.0088,0.01201,172.6,1,NA,NA,0.395
BWR2.19,BWR,Pull test,0.2,245770.876,3791694.781,239.938,T,0.05,NA,1.71,0.05851,0.05375,161.8,0,0.01978,0.41,0.43
BWR2.20,BWR,Pull test,0.2,245770.829,3791694.757,239.943,T,0.05,NA,2.51,0.04057,0.05236,206.9,0,0.01640,0.28,0.44
BWR2.21,BWR,Pull test,0.2,245771.031,3791693.312,239.894,T,0.01,NA,1.42,0.01322,0.02039,191.5,0,NA,NA,0.565
BWR2.22,BWR,Pull test,0.2,245771.299,3791697.427,239.944,T,0.04,NA,0.885,0.00547,0.00907,311.7,1,NA,NA,0.41
BWR1.11,BWR,Pull test,0,245793.418,3791696.975,240.153,P,0.24,NA,1.75,0.01686,0.05577,1017.1,1,NA,NA,0.395
BWR1.12,BWR,Pull test,0,245794.708,3791697.203,240.107,P,0.21,NA,1.33,0.0123,0.01530,643.0,1,NA,NA,0.055
BWR1.13,BWR,Pull test,0,245804.227,3791703.021,240.061,P,0.1,NA,2.021,0.03223,0.31520,2314.1,0,NA,NA,0.532
BWR3.2,BWR,Pull test,0,245798.489,3791687.828,239.212,P,-0.81,NA,0.975,0.00687,0.01087,104.8,0,NA,NA,0.25
BWR3.3,BWR,Pull test,0,245798.258,3791687.837,239.211,P,-0.79,NA,0.832,0.00573,0.00924,53.6,1,NA,NA,0.192
BWR3.4,BWR,Pull test,0,245797.909,3791687.897,239.283,P,-0.73,NA,1.43,0.01029,0.02735,97.4,1,NA,NA,0.2
BWR3.5,BWR,Pull test,0,245797.693,3791687.822,239.215,P,-0.8,NA,1.092,0.00854,0.01006,80.1,1,NA,NA,0.225
BWR3.6,BWR,Pull test,0,245797.391,3791687.844,239.348,P,-0.67,NA,1.562,0.00912,0.02375,163.7,0,NA,NA,0.19
BWR3.7,BWR,Pull test,0,245796.145,3791687.746,239.294,P,-0.72,NA,1.805,0.01087,0.03307,140.0,0,NA,NA,0.248
BWR3.8,BWR,Pull test,0,245795.616,3791687.853,239.249,P,-0.74,NA,1.5,0.01007,0.02677,70.0,0,NA,NA,0.26
BWR3.9,BWR,Pull test,0,245795.364,3791687.651,239.217,P,-0.79,NA,0.985,0.00988,0.01482,31.7,0,NA,NA,0.178
BWR3.10,BWR,Pull test,0,245793.771,3791689.114,239.248,P,-0.76,NA,0.902,0.00485,0.00718,25.1,0,NA,NA,0.175
BWR3.11,BWR,Pull test,0,245795.385,3791689.698,239.429,P,-0.59,NA,0.642,0.00402,0.00324,64.7,0,0.00194,0.16,0.29
BWR3.12,BWR,Pull test,0,245795.34,3791689.497,239.401,P,-0.61,NA,0.442,0.00676,0.00343,72.4,0,0.00218,0.14,0.272
BWR3.13,BWR,Pull test,0,245796.114,3791690.279,239.556,P,-0.44,NA,0.755,0.01655,0.04309,200.2,1,NA,NA,0.455
BWR3.14,BWR,Pull test,0,245796.571,3791689.745,239.45,P,-0.55,NA,0.785,0.00547,0.00773,74.7,1,0.00500,0.11,0.242
BWR3.15,BWR,Pull test,0,245797.226,3791690.23,239.486,P,-0.54,NA,1.015,0.00837,0.01473,211.1,0,NA,NA,0.28
BWR3.16,BWR,Pull test,0,245797.371,3791690.151,239.487,P,-0.54,NA,0.62,0.00831,0.01087,331.3,0,0.00755,0.09,0.322
BWR4.1,BWR,Pull test,0,245680.804,3791636.71,239.235,P,-0.22,NA,1.175,0.01538,0.03844,883.4,0,NA,NA,0.59
BWR4.2,BWR,Pull test,0,245681.078,3791637.405,239.298,T,-0.17,NA,0.715,0.00779,0.00676,99.1,1,0.00272,0.21,0.362
BWR4.3,BWR,Pull test,0,245679.472,3791637.363,239.476,T,0.02,NA,0.84,0.01721,0.02625,384.7,1,NA,NA,0.215
BWR4.4,BWR,Pull test,0.2,245672.911,3791633.222,239.37,P,0.02,NA,1.82,0.02252,0.13305,836.1,0,0.04517,0.19,0.785
BWR4.5,BWR,Pull test,0,245673.595,3791635.678,239.288,S,-0.09,NA,1.99,0.02471,0.04458,1442.6,0,0.02525,0.56,0.59
BWR4.6,BWR,Pull test,0,245673.836,3791635.361,239.372,S,0,NA,1.53,0.02719,0.02851,1407.8,0,NA,NA,0.445
BWR4.7,BWR,Pull test,0.2,245672.241,3791632.464,239.347,P,0.01,NA,2.31,0.0237,0.12807,1348.4,0,0.03291,0.58,0.72
BWR4.8,BWR,Pull test,0,245671.051,3791633.672,239.334,S,0.01,NA,1.745,0.02302,0.06242,2058.3,0,0.04021,0.2,0.755
BWR4.9,BWR,Pull test,0,245671.642,3791632.032,239.397,T,NA,NA,1.15,0.0188,0.02166,253.3,0,NA,NA,0.285
BWR4.10,BWR,Excavated,0,245672.205,3791632.685,239.345,T,0,NA,0.755,0.01534,0.01421,NA,NA,0.01089,0.26,0.685
BWR4.11,BWR,Excavated,0,245737.036,3791662.332,239.899,P,0.56,NA,0.72,0.00893,0.01243,NA,NA,0.00923,0.35,0.51
BWR5.1,BWR,Pull test,0,245651.528,3791626.956,239.274,P,0.06,NA,0.671,0.01451,0.01603,162.3,0,NA,NA,0
BWR5.2,BWR,Pull test,0.2,245647.441,3791628.084,239.292,P,0.1,NA,0.845,0.01075,0.03293,541.4,1,NA,NA,0.29
BWR5.3,BWR,Pull test,0.2,245643.868,3791625.749,239.251,P,0.06,NA,1.43,0.0193,0.05187,918.0,0,0.02931,0.36,0.65
BWR5.4,BWR,Pull test,0,245643.193,3791626.447,239.248,P,0.06,NA,0.785,0.0244,0.06724,673.5,0,NA,NA,0.455
BWR5.6,BWR,Pull test,0,245645.542,3791623.802,239.334,P,0.14,NA,1.17,0.01255,0.04649,703.1,0,0.01562,0.32,0.565
BWR5.7,BWR,Pull test,0.2,245635.044,3791618.676,239.353,P,0.18,NA,1,0.0156,0.02919,593.9,1,NA,NA,0.535
BWR5.8,BWR,Pull test,0.2,245631.718,3791616.456,239.26,P,0.09,NA,0.71,0.01314,0.03210,416.0,0,NA,NA,0.545
BWR5.9,BWR,Pull test,0,245628.868,3791619.124,239.182,P,0,NA,0.91,0.02913,0.09773,596.0,0,NA,NA,0.435
BWR5.10,BWR,Pull test,0.2,245630.33,3791616.246,239.208,T,0.03,NA,0.66,0.01007,0.00684,172.6,1,NA,NA,0.355
BWR5.11,BWR,Pull test,0,245629.457,3791615.451,239.212,T,0.04,NA,0.615,0.01836,0.01152,416.1,0,NA,NA,0.41
