ID,River,Type,Scour depth (m)1,Easting (m)2,Northing (m)2,Elevation (m)3,Species4,Depth to water table (m),Density (m-1),Height (m),Basal diameter (m),Frontal area (m2),Pullout force (N) ,Break5,Root frontal area (m2),Depth to highest root density (m),Root length (m)6
11.1,BR,Pull test,0,252671.843,284030.742,963.224,P,0.53,0.04,0.14,0.00267,0.00072,NA,NA,NA,NA,NA
11.2,BR,Pull test,0,252671.371,284027.789,963.231,P,0.52,0.04,0.29,0.01076,0.01676,470.9,1,NA,NA,0
11.2D,BR,Excavated,0,252671.371,284027.789,963.231,P,0.52,0.04,0.29,0.01076,0.01676,NA,NA,0.00720,0.19,0.333
11.3D,BR,Excavated,0,252669.852,284029.496,963.261,P,0.56,0.04,0.123,0.00264,0.00157,NA,NA,0.00114,0.05,0.232
11.4,BR,Pull test,0,252676.475,284033.799,963.42,P,0.73,0.04,0.295,0.00449,0.00434,142.2,1,NA,NA,NA
11.4D,BR,Excavated,0,252676.475,284033.799,963.42,P,0.73,0.04,0.295,0.00449,0.00434,NA,NA,NA,NA,0.255
11.5,BR,Pull test,0,252670.257,284034.668,963.253,P,0.56,0.04,0.092,0.00301,0.00119,NA,NA,0.00038,0.07,0.178
11.6,BR,Pull test,0,252678.068,284039.233,963.535,P,0.85,0.04,0.032,0.01106,0.03058,960.2,1,NA,NA,0.22
12.1,BR,Pull test,0,252675.756,284026.409,963.333,P,0.63,0.09,0.295,0.00923,0.00846,777.3,1,NA,NA,0
12.1D,BR,Excavated,0,252675.756,284026.409,963.333,P,0.63,0.09,0.295,0.00923,0.00846,NA,NA,0.00933,0.31,0.466
12.2,BR,Pull test,0,252670.158,284022.192,963.171,P,0.45,0.09,0.075,0.00152,0.00152,34.4,1,NA,NA,0.036
12.3D,BR,Excavated,0,NA,NA,NA,P,0.55,0.09,0.215,0.00439,0.01373,NA,NA,0.00575,0.21,NA
12.4,BR,Pull test,0,252674.364,284023.616,963.26,S,0.53,0.09,0.145,0.00612,0.00943,225.9,1,NA,NA,0.195
12.5,BR,Pull test,0,252676.122,284021.024,963.251,P,0.53,0.09,0.122,0.0083,0.00462,90.9,1,NA,NA,0.112
12.6D,BR,Excavated,0,252675.797,284014.149,963.208,P,0.47,0.09,0.072,0.01222,0.00222,NA,NA,0.00467,0.24,0.412
12.7,BR,Pull test,0,252676.54,284012.774,963.223,P,0.49,0.09,0.232,0.00371,0.00779,101.2,1,0.00621,0.17,0.375
12.8,BR,Pull test,0,252677.098,284008.529,963.162,P,0.46,0.09,0.205,0.00407,0.00368,82.2,1,NA,NA,0.108
12.9D,BR,Excavated,0,252675.987,284009.43,963.205,P,0.46,0.09,0.173,0.00602,0.00378,NA,NA,0.00354,0.27,0.333
12.1,BR,Pull test,0,252677.93,284004.189,963.222,P,0.47,0.09,0.121,0.00249,0.00130,58.0,1,NA,NA,0.02
12.11,BR,Pull test,0,252675.755,284008.132,963.184,P,0.41,0.09,0.187,0.00331,0.00460,100.0,1,NA,NA,0.055
14.1,BR,Pull test,0,252685.38,283982.121,963.204,P,0.41,0.04,0.172,0.00361,0.00336,31.2,1,NA,NA,0
14.1D,BR,Excavated,0,252685.38,283982.121,963.204,P,0.41,0.04,0.172,0.00361,0.00336,NA,NA,NA,NA,0.23
14.2,BR,Pull test,0,252685.961,283985.222,963.296,P,0.51,0.04,0.15,0.00266,0.00136,33.3,1,NA,NA,0.029
14.3D,BR,Excavated,0,252685.987,283979.936,963.286,P,0.49,0.04,0.122,0.0059,0.00719,NA,NA,0.00482,0.45,0.465
14.4,BR,Pull test,0,252686.849,283976.315,963.239,P,0.44,0.04,0.175,0.0052,0.00719,104.3,1,NA,NA,0.15
14.5,BR,Pull test,0,252686.631,283975.265,963.241,P,0.44,0.04,0.11,0.00338,0.00233,38.7,1,NA,NA,0.063
14.6,BR,Excavated,0,252689.426,283969.623,963.427,P,0.61,0.04,0.33,0.00853,0.01533,NA,NA,0.00596,0.35,0.375
14.7,BR,Pull test,0,252691.479,283963.694,963.532,P,0.71,0.04,0.268,0.00597,0.00761,130.4,1,NA,NA,0.138
14.8,BR,Pull test,0,252693.527,283955.178,963.648,P,0.8,0.04,0.148,0.00362,0.00210,106.9,1,NA,NA,0
14.8D,BR,Excavated,0,252693.527,283955.178,963.648,P,0.8,0.04,0.148,0.00362,0.00210,NA,NA,0.00104,0.09,0.185
14.9,BR,Pull test,0,252691.782,283951.991,963.539,P,0.69,0.04,0.09,0.0022,0.00141,34.0,1,NA,NA,0
14.9D,BR,Excavated,0,252691.782,283951.991,963.539,P,0.69,0.04,0.09,0.0022,0.00141,NA,NA,0.00066,0.1,0.052
15.1,BR,Pull test,0,252684.078,283975.808,963.242,S,0.44,0.13,0.31,0.00329,0.00322,124.0,0,NA,NA,0.345
15.2,BR,Pull test,0,252682.36,283975.571,963.402,S,0.6,0.13,0.32,0.02182,0.02370,444.6,0,NA,NA,0.035
15.2D,BR,Excavated,0,252682.36,283975.571,963.402,S,0.6,0.13,0.32,0.02182,0.02370,NA,NA,NA,NA,0.345
15.3D,BR,Excavated,0,252683.035,283975.288,963.565,S,0.44,0.13,0.418,0.00835,0.02511,NA,NA,NA,NA,0.34
15.4,BR,Pull test,0,252683.349,283974.451,963.513,S,0.7,0.13,0.725,0.00933,0.02494,542.6,1,NA,NA,0.207
15.5,BR,Pull test,0,252683.109,283973.726,963.44,S,0.7,0.13,0.705,0.01969,0.05539,834.7,1,NA,NA,0.2
15.6D,BR,Excavated,0,252684.204,283973.314,963.508,S,0.7,0.13,0.265,0.00586,0.00725,NA,NA,NA,NA,0.352
16.1,BR,Pull test,0,252682.688,283953.224,963.645,P,0.8,0.01,0.36,0.02979,0.06346,812.3,1,NA,NA,0.188
16.2,BR,Pull test,0,252686.515,283948.899,963.693,P,0.84,0.01,0.233,0.00445,0.01328,291.8,0,NA,NA,0
16.3D,BR,Excavated,0,252691.152,283943.134,963.383,P,0.52,0.01,0.195,0.00332,0.03431,NA,NA,0.00151,0.07,0.232
16.4,BR,Pull test,0,252686.508,283933.547,963.813,P,0.93,0.01,0.175,0.00373,0.00353,133.7,1,NA,NA,0
16.4D,BR,Excavated,0,252686.508,283933.547,963.813,P,0.93,0.01,0.175,0.00373,0.00353,NA,NA,0.00157,0.14,0.395
16.5,BR,Pull test,0,252687.28,283927.507,963.787,P,0.9,0.01,0.495,0.01742,0.07409,866.4,1,NA,NA,0.155
16.6,BR,Pull test,0,252686.538,283916.735,963.88,P,0.97,0.01,0.275,0.00675,0.00953,293.1,1,NA,NA,0.213
16.7D,BR,Excavated,0,252686.918,283906.688,963.836,P,0.91,0.01,0.32,0.01562,0.01627,NA,NA,0.00501,0.47,0.58
16.8,BR,Pull test,0,252683.463,283903.308,963.848,P,0.92,0.01,0.265,0.01131,0.04283,447.3,1,NA,NA,0.175
18.1,BR,Pull test,0,252678.872,283958.88,963.812,P,0.98,0.09,0.56,0.01073,0.02310,550.8,1,NA,NA,0.095
18.2,BR,Pull test,0,252678.373,283954.915,963.805,P,0.97,0.09,0.378,0.00575,0.01253,214.6,1,NA,NA,0.058
18.3D,BR,Excavated,0,252679.373,283947.491,963.772,P,0.92,0.09,0.51,0.02207,0.04597,NA,NA,0.01110,0.17,0.54
18.4,BR,Pull test,0,252678.765,283944.621,963.814,P,0.96,0.09,0.425,0.00755,0.03761,739.9,1,NA,NA,0.16
18.5,BR,Pull test,0,252678.223,283939.802,963.813,P,0.95,0.09,0.44,0.01605,0.03686,437.2,1,NA,NA,0
18.5D,BR,Excavated,0,252678.223,283939.802,963.813,P,0.95,0.09,0.44,0.01605,0.03686,NA,NA,0.01672,0.36,0.515
18.6,BR,Pull test,0,252675.928,283935.684,963.75,P,0.88,0.09,0.588,0.01495,0.06028,973.3,0,NA,NA,0.295
18.7,BR,Pull test,0,252678.239,283931.626,963.822,P,0.94,0.09,0.765,0.03186,0.14569,1789.9,1,NA,NA,0
18.7D,BR,Excavated,0,252678.239,283931.626,963.822,P,0.94,0.09,0.765,0.03186,0.14569,NA,NA,NA,NA,0.572
18.8D,BR,Excavated,0,252679.684,283928.668,963.84,P,0.96,0.09,0.82,0.03739,0.56951,NA,NA,NA,NA,NA
18.9,BR,Pull test,0,252681.244,283923.097,963.864,P,0.97,0.09,0.19,0.00375,0.00169,101.8,1,NA,NA,0.083
18.1,BR,Pull test,0,252678.282,283920.004,963.979,P,1.08,0.09,0.95,0.01082,0.11039,1099.5,1,NA,NA,0
60.1,BR,Pull test,0,252655.254,283947.402,963.902,P,0.99,0.03,0.78,0.01401,0.13115,1421.2,1,NA,NA,0.445
60.2,BR,Pull test,0,252664.004,283954.015,964.074,P,1.19,0.03,0.12,0.00268,0.00131,34.6,1,NA,NA,0.06
60.3,BR,Pull test,0,252662.718,283960.767,964.034,P,1.16,0.03,0.52,0.00971,0.03708,720.9,1,NA,NA,0.213
60.4a,BR,Excavated,0,252659.51,283966.925,964.12,P,1.24,0.03,0.45,0.00622,0.02165,NA,NA,0.01107,0.16,0.52
60.4b,BR,Excavated,0,252659.51,283966.925,964.12,P,1.24,0.03,0.45,0.00762,0.02208,NA,NA,0.00928,0.33,0.43
60.4c,BR,Excavated,0,252659.51,283966.925,964.12,P,1.24,0.03,0.515,0.03495,0.11600,NA,NA,0.02501,0.41,0.54
60.5,BR,Pull test,0,252656.964,283966.529,964.088,P,1.2,0.03,0.5,0.0123,0.07036,1120.8,0,NA,NA,0.35
