"","water_year","days_per_water_year","suitablility"
"1",2010,1039,"No"
"2",2011,1068,"No"
"3",2012,1095,"No"
"4",2013,1095,"No"
"5",2014,1087,"No"
"6",2015,1088,"No"
"7",2016,1095,"No"
