"","month_year","water_year","month","season","position","Annual","n_days"
"1",2010-01-01,2010,1,"critical","LOB","days_per_month",4
"2",2010-01-01,2010,1,"critical","MC","days_per_month",31
"3",2010-01-01,2010,1,"critical","ROB","days_per_month",6
"4",2011-01-01,2011,1,"critical","LOB","days_per_month",0
"5",2011-01-01,2011,1,"critical","MC","days_per_month",31
"6",2011-01-01,2011,1,"critical","ROB","days_per_month",0
"7",2012-01-01,2012,1,"critical","LOB","days_per_month",0
"8",2012-01-01,2012,1,"critical","MC","days_per_month",31
"9",2012-01-01,2012,1,"critical","ROB","days_per_month",0
"10",2013-01-01,2013,1,"critical","LOB","days_per_month",0
"11",2013-01-01,2013,1,"critical","MC","days_per_month",31
"12",2013-01-01,2013,1,"critical","ROB","days_per_month",0
"13",2014-01-01,2014,1,"critical","LOB","days_per_month",0
"14",2014-01-01,2014,1,"critical","MC","days_per_month",27
"15",2014-01-01,2014,1,"critical","ROB","days_per_month",0
"16",2015-01-01,2015,1,"critical","LOB","days_per_month",0
"17",2015-01-01,2015,1,"critical","MC","days_per_month",24
"18",2015-01-01,2015,1,"critical","ROB","days_per_month",0
"19",2016-01-01,2016,1,"critical","LOB","days_per_month",2
"20",2016-01-01,2016,1,"critical","MC","days_per_month",27
"21",2016-01-01,2016,1,"critical","ROB","days_per_month",3
"22",2010-02-01,2010,2,"critical","LOB","days_per_month",1
"23",2010-02-01,2010,2,"critical","MC","days_per_month",28
"24",2010-02-01,2010,2,"critical","ROB","days_per_month",1
"25",2011-02-01,2011,2,"critical","LOB","days_per_month",0
"26",2011-02-01,2011,2,"critical","MC","days_per_month",29
"27",2011-02-01,2011,2,"critical","ROB","days_per_month",0
"28",2012-02-01,2012,2,"critical","LOB","days_per_month",0
"29",2012-02-01,2012,2,"critical","MC","days_per_month",28
"30",2012-02-01,2012,2,"critical","ROB","days_per_month",0
"31",2013-02-01,2013,2,"critical","LOB","days_per_month",0
"32",2013-02-01,2013,2,"critical","MC","days_per_month",28
"33",2013-02-01,2013,2,"critical","ROB","days_per_month",0
"34",2014-02-01,2014,2,"critical","LOB","days_per_month",0
"35",2014-02-01,2014,2,"critical","MC","days_per_month",28
"36",2014-02-01,2014,2,"critical","ROB","days_per_month",0
"37",2015-02-01,2015,2,"critical","LOB","days_per_month",0
"38",2015-02-01,2015,2,"critical","MC","days_per_month",16
