"","month_year","water_year","month","season","position","Annual","n_days"
"104",2016-05-01,2016,5,"critical","MC","days_per_month",1
"105",2016-05-01,2016,5,"critical","ROB","days_per_month",31
"106",2010-06-01,2010,6,"critical","LOB","days_per_month",30
"107",2010-06-01,2010,6,"critical","MC","days_per_month",30
"108",2010-06-01,2010,6,"critical","ROB","days_per_month",30
"109",2011-06-01,2011,6,"critical","LOB","days_per_month",30
"110",2011-06-01,2011,6,"critical","MC","days_per_month",0
"111",2011-06-01,2011,6,"critical","ROB","days_per_month",30
"112",2012-06-01,2012,6,"critical","LOB","days_per_month",30
"113",2012-06-01,2012,6,"critical","MC","days_per_month",30
"114",2012-06-01,2012,6,"critical","ROB","days_per_month",30
"115",2013-06-01,2013,6,"critical","LOB","days_per_month",30
"116",2013-06-01,2013,6,"critical","MC","days_per_month",0
"117",2013-06-01,2013,6,"critical","ROB","days_per_month",30
"118",2014-06-01,2014,6,"critical","LOB","days_per_month",30
"119",2014-06-01,2014,6,"critical","MC","days_per_month",0
"120",2014-06-01,2014,6,"critical","ROB","days_per_month",30
"121",2015-06-01,2015,6,"critical","LOB","days_per_month",30
"122",2015-06-01,2015,6,"critical","MC","days_per_month",0
"123",2015-06-01,2015,6,"critical","ROB","days_per_month",30
"124",2016-06-01,2016,6,"critical","LOB","days_per_month",30
"125",2016-06-01,2016,6,"critical","MC","days_per_month",0
"126",2016-06-01,2016,6,"critical","ROB","days_per_month",30
"127",2010-07-01,2010,7,"non_critical","LOB","days_per_month",31
"128",2010-07-01,2010,7,"non_critical","MC","days_per_month",12
"129",2010-07-01,2010,7,"non_critical","ROB","days_per_month",31
"130",2011-07-01,2011,7,"non_critical","LOB","days_per_month",31
"131",2011-07-01,2011,7,"non_critical","MC","days_per_month",0
"132",2011-07-01,2011,7,"non_critical","ROB","days_per_month",31
"133",2012-07-01,2012,7,"non_critical","LOB","days_per_month",31
"134",2012-07-01,2012,7,"non_critical","MC","days_per_month",22
"135",2012-07-01,2012,7,"non_critical","ROB","days_per_month",31
"136",2013-07-01,2013,7,"non_critical","LOB","days_per_month",31
"137",2013-07-01,2013,7,"non_critical","MC","days_per_month",0
"138",2013-07-01,2013,7,"non_critical","ROB","days_per_month",31
"139",2014-07-01,2014,7,"non_critical","LOB","days_per_month",31
"140",2014-07-01,2014,7,"non_critical","MC","days_per_month",0
"141",2014-07-01,2014,7,"non_critical","ROB","days_per_month",31
"142",2015-07-01,2015,7,"non_critical","LOB","days_per_month",31
"143",2015-07-01,2015,7,"non_critical","MC","days_per_month",0
"144",2015-07-01,2015,7,"non_critical","ROB","days_per_month",31
"145",2016-07-01,2016,7,"non_critical","LOB","days_per_month",31
"146",2016-07-01,2016,7,"non_critical","MC","days_per_month",0
"147",2016-07-01,2016,7,"non_critical","ROB","days_per_month",31
"148",2010-08-01,2010,8,"non_critical","LOB","days_per_month",31
"149",2010-08-01,2010,8,"non_critical","MC","days_per_month",0
"150",2010-08-01,2010,8,"non_critical","ROB","days_per_month",31
"151",2011-08-01,2011,8,"non_critical","LOB","days_per_month",31
"152",2011-08-01,2011,8,"non_critical","MC","days_per_month",0
"153",2011-08-01,2011,8,"non_critical","ROB","days_per_month",31
"154",2012-08-01,2012,8,"non_critical","LOB","days_per_month",31
"155",2012-08-01,2012,8,"non_critical","MC","days_per_month",4
"156",2012-08-01,2012,8,"non_critical","ROB","days_per_month",31
"157",2013-08-01,2013,8,"non_critical","LOB","days_per_month",31
"158",2013-08-01,2013,8,"non_critical","MC","days_per_month",1
"159",2013-08-01,2013,8,"non_critical","ROB","days_per_month",31
"160",2014-08-01,2014,8,"non_critical","LOB","days_per_month",31
"161",2014-08-01,2014,8,"non_critical","MC","days_per_month",0
"162",2014-08-01,2014,8,"non_critical","ROB","days_per_month",31
"163",2015-08-01,2015,8,"non_critical","LOB","days_per_month",31
"164",2015-08-01,2015,8,"non_critical","MC","days_per_month",0
"165",2015-08-01,2015,8,"non_critical","ROB","days_per_month",31
"166",2016-08-01,2016,8,"non_critical","LOB","days_per_month",31
"167",2016-08-01,2016,8,"non_critical","MC","days_per_month",0
"168",2016-08-01,2016,8,"non_critical","ROB","days_per_month",31
"169",2010-09-01,2010,9,"non_critical","LOB","days_per_month",30
"170",2010-09-01,2010,9,"non_critical","MC","days_per_month",21
"171",2010-09-01,2010,9,"non_critical","ROB","days_per_month",30
"172",2011-09-01,2011,9,"non_critical","LOB","days_per_month",30
"173",2011-09-01,2011,9,"non_critical","MC","days_per_month",0
"174",2011-09-01,2011,9,"non_critical","ROB","days_per_month",30
"175",2012-09-01,2012,9,"non_critical","LOB","days_per_month",30
"176",2012-09-01,2012,9,"non_critical","MC","days_per_month",14
"177",2012-09-01,2012,9,"non_critical","ROB","days_per_month",30
"178",2013-09-01,2013,9,"non_critical","LOB","days_per_month",30
"179",2013-09-01,2013,9,"non_critical","MC","days_per_month",0
"180",2013-09-01,2013,9,"non_critical","ROB","days_per_month",30
"181",2014-09-01,2014,9,"non_critical","LOB","days_per_month",30
"182",2014-09-01,2014,9,"non_critical","MC","days_per_month",0
"183",2014-09-01,2014,9,"non_critical","ROB","days_per_month",30
"184",2015-09-01,2015,9,"non_critical","LOB","days_per_month",30
"185",2015-09-01,2015,9,"non_critical","MC","days_per_month",0
"186",2015-09-01,2015,9,"non_critical","ROB","days_per_month",30
"187",2016-09-01,2016,9,"non_critical","LOB","days_per_month",30
"188",2016-09-01,2016,9,"non_critical","MC","days_per_month",0
"189",2016-09-01,2016,9,"non_critical","ROB","days_per_month",30
"190",2010-10-01,2010,10,"non_critical","LOB","days_per_month",30
"191",2010-10-01,2010,10,"non_critical","MC","days_per_month",27
"192",2010-10-01,2010,10,"non_critical","ROB","days_per_month",30
"193",2011-10-01,2011,10,"non_critical","LOB","days_per_month",31
"194",2011-10-01,2011,10,"non_critical","MC","days_per_month",25
"195",2011-10-01,2011,10,"non_critical","ROB","days_per_month",31
"196",2012-10-01,2012,10,"non_critical","LOB","days_per_month",31
"197",2012-10-01,2012,10,"non_critical","MC","days_per_month",2
"198",2012-10-01,2012,10,"non_critical","ROB","days_per_month",31
"199",2013-10-01,2013,10,"non_critical","LOB","days_per_month",31
"200",2013-10-01,2013,10,"non_critical","MC","days_per_month",8
"201",2013-10-01,2013,10,"non_critical","ROB","days_per_month",31
"202",2014-10-01,2014,10,"non_critical","LOB","days_per_month",31
"203",2014-10-01,2014,10,"non_critical","MC","days_per_month",0
"204",2014-10-01,2014,10,"non_critical","ROB","days_per_month",31
"205",2015-10-01,2015,10,"non_critical","LOB","days_per_month",31
"206",2015-10-01,2015,10,"non_critical","MC","days_per_month",18
"207",2015-10-01,2015,10,"non_critical","ROB","days_per_month",31
"208",2016-10-01,2016,10,"non_critical","LOB","days_per_month",31
"209",2016-10-01,2016,10,"non_critical","MC","days_per_month",1
"210",2016-10-01,2016,10,"non_critical","ROB","days_per_month",31
"211",2010-11-01,2010,11,"non_critical","LOB","days_per_month",30
"212",2010-11-01,2010,11,"non_critical","MC","days_per_month",27
"213",2010-11-01,2010,11,"non_critical","ROB","days_per_month",30
"214",2011-11-01,2011,11,"non_critical","LOB","days_per_month",30
"215",2011-11-01,2011,11,"non_critical","MC","days_per_month",29
"216",2011-11-01,2011,11,"non_critical","ROB","days_per_month",30
"217",2012-11-01,2012,11,"non_critical","LOB","days_per_month",30
"218",2012-11-01,2012,11,"non_critical","MC","days_per_month",15
"219",2012-11-01,2012,11,"non_critical","ROB","days_per_month",30
"220",2013-11-01,2013,11,"non_critical","LOB","days_per_month",30
"221",2013-11-01,2013,11,"non_critical","MC","days_per_month",3
"222",2013-11-01,2013,11,"non_critical","ROB","days_per_month",30
