"","water_year","days_per_water_year","suitablility"
"1",2010,619,"No"
"2",2011,443,"No"
"3",2012,365,"No"
"4",2013,367,"No"
"5",2014,185,"Yes"
"6",2015,328,"No"
"7",2016,438,"No"
