"","month_year","water_year","month","season","position","Probability_Threshold","n_days"
"1",2010-01-01,2010,1,"non_critical","LOB","Low",4
"2",2010-01-01,2010,1,"non_critical","MC","Low",3
"3",2010-01-01,2010,1,"non_critical","ROB","Low",1
"4",2011-01-01,2011,1,"non_critical","LOB","Low",2
"5",2011-01-01,2011,1,"non_critical","MC","Low",2
"6",2011-01-01,2011,1,"non_critical","ROB","Low",2
"7",2012-01-01,2012,1,"non_critical","LOB","Low",10
"8",2012-01-01,2012,1,"non_critical","MC","Low",10
"9",2012-01-01,2012,1,"non_critical","ROB","Low",2
"10",2013-01-01,2013,1,"non_critical","LOB","Low",0
"11",2013-01-01,2013,1,"non_critical","MC","Low",0
"12",2013-01-01,2013,1,"non_critical","ROB","Low",0
"13",2014-01-01,2014,1,"non_critical","LOB","Low",4
"14",2014-01-01,2014,1,"non_critical","MC","Low",4
"15",2014-01-01,2014,1,"non_critical","ROB","Low",2
"16",2015-01-01,2015,1,"non_critical","LOB","Low",5
"17",2015-01-01,2015,1,"non_critical","MC","Low",5
"18",2015-01-01,2015,1,"non_critical","ROB","Low",4
"19",2016-01-01,2016,1,"non_critical","LOB","Low",12
"20",2016-01-01,2016,1,"non_critical","MC","Low",12
"21",2016-01-01,2016,1,"non_critical","ROB","Low",10
"22",2010-02-01,2010,2,"non_critical","LOB","Low",9
"23",2010-02-01,2010,2,"non_critical","MC","Low",9
"24",2010-02-01,2010,2,"non_critical","ROB","Low",5
"25",2011-02-01,2011,2,"non_critical","LOB","Low",1
"26",2011-02-01,2011,2,"non_critical","MC","Low",1
"27",2011-02-01,2011,2,"non_critical","ROB","Low",0
"28",2012-02-01,2012,2,"non_critical","LOB","Low",3
"29",2012-02-01,2012,2,"non_critical","MC","Low",3
"30",2012-02-01,2012,2,"non_critical","ROB","Low",0
"31",2013-02-01,2013,2,"non_critical","LOB","Low",4
"32",2013-02-01,2013,2,"non_critical","MC","Low",4
"33",2013-02-01,2013,2,"non_critical","ROB","Low",4
