"","month","water_year","position","days_per_month_low","days_per_month_medium","days_per_month_high"
"1",1,2010,"LOB",2,0,0
"2",1,2010,"MC",8,0,0
"3",1,2010,"ROB",8,0,0
"4",1,2011,"LOB",3,0,0
"5",1,2011,"MC",8,0,0
"6",1,2011,"ROB",8,0,0
"7",1,2012,"LOB",3,0,0
"8",1,2012,"MC",11,0,0
"9",1,2012,"ROB",11,0,0
"10",1,2013,"LOB",0,0,0
"11",1,2013,"MC",0,0,0
"12",1,2013,"ROB",0,0,0
"13",1,2014,"LOB",3,0,0
"14",1,2014,"MC",11,0,0
"15",1,2014,"ROB",11,0,0
"16",1,2015,"LOB",4,0,0
"17",1,2015,"MC",9,0,0
"18",1,2015,"ROB",9,0,0
"19",1,2016,"LOB",11,0,0
"20",1,2016,"MC",30,0,0
"21",1,2016,"ROB",30,0,0
"22",2,2010,"LOB",4,0,0
"23",2,2010,"MC",11,0,0
"24",2,2010,"ROB",13,0,0
"25",2,2011,"LOB",0,0,0
"26",2,2011,"MC",3,0,0
"27",2,2011,"ROB",3,0,0
"28",2,2012,"LOB",0,0,0
"29",2,2012,"MC",8,0,0
"30",2,2012,"ROB",8,0,0
"31",2,2013,"LOB",2,0,0
"32",2,2013,"MC",11,0,0
"33",2,2013,"ROB",11,0,0
"34",2,2014,"LOB",1,0,0
"35",2,2014,"MC",5,0,0
"36",2,2014,"ROB",5,0,0
"37",2,2015,"LOB",1,0,0
"38",2,2015,"MC",6,0,0
"39",2,2015,"ROB",7,0,0
"40",2,2016,"LOB",6,0,0
"41",2,2016,"MC",23,0,0
"42",2,2016,"ROB",23,0,0
"43",3,2010,"LOB",5,0,0
"44",3,2010,"MC",18,0,0
"45",3,2010,"ROB",17,0,0
"46",3,2011,"LOB",3,0,0
"47",3,2011,"MC",11,0,0
"48",3,2011,"ROB",11,0,0
"49",3,2012,"LOB",1,0,0
"50",3,2012,"MC",3,0,0
"51",3,2012,"ROB",4,0,0
"52",3,2013,"LOB",0,0,0
"53",3,2013,"MC",6,0,0
"54",3,2013,"ROB",7,0,0
"55",3,2014,"LOB",1,0,0
"56",3,2014,"MC",4,0,0
"57",3,2014,"ROB",5,0,0
"58",3,2015,"LOB",3,0,0
"59",3,2015,"MC",10,0,0
"60",3,2015,"ROB",11,0,0
"61",3,2016,"LOB",0,0,0
"62",3,2016,"MC",3,0,0
"63",3,2016,"ROB",3,0,0
"64",4,2010,"LOB",0,0,0
"65",4,2010,"MC",0,0,0
"66",4,2010,"ROB",0,0,0
"67",4,2011,"LOB",4,0,0
"68",4,2011,"MC",13,0,0
"69",4,2011,"ROB",13,0,0
"70",4,2012,"LOB",0,0,0
"71",4,2012,"MC",0,0,0
"72",4,2012,"ROB",0,0,0
"73",4,2013,"LOB",0,0,0
"74",4,2013,"MC",5,0,0
"75",4,2013,"ROB",6,0,0
"76",4,2014,"LOB",0,0,0
"77",4,2014,"MC",3,0,0
"78",4,2014,"ROB",3,0,0
"79",4,2015,"LOB",0,0,0
"80",4,2015,"MC",5,0,0
"81",4,2015,"ROB",5,0,0
"82",4,2016,"LOB",0,0,0
"83",4,2016,"MC",3,0,0
"84",4,2016,"ROB",3,0,0
"85",5,2010,"LOB",0,0,0
"86",5,2010,"MC",6,0,0
"87",5,2010,"ROB",6,0,0
"88",5,2011,"LOB",0,0,0
"89",5,2011,"MC",0,0,0
"90",5,2011,"ROB",0,0,0
"91",5,2012,"LOB",0,0,0
"92",5,2012,"MC",4,0,0
"93",5,2012,"ROB",4,0,0
"94",5,2013,"LOB",0,0,0
"95",5,2013,"MC",0,0,0
"96",5,2013,"ROB",0,0,0
"97",5,2014,"LOB",2,0,0
"98",5,2014,"MC",8,0,0
"99",5,2014,"ROB",8,0,0
"100",5,2015,"LOB",0,0,0
"101",5,2015,"MC",3,0,0
"102",5,2015,"ROB",4,0,0
"103",5,2016,"LOB",0,0,0
"104",5,2016,"MC",3,0,0
"105",5,2016,"ROB",4,0,0
"106",6,2010,"LOB",0,0,0
"107",6,2010,"MC",0,0,0
"108",6,2010,"ROB",0,0,0
"109",6,2011,"LOB",0,0,0
"110",6,2011,"MC",0,0,0
"111",6,2011,"ROB",0,0,0
"112",6,2012,"LOB",0,0,0
"113",6,2012,"MC",0,0,0
"114",6,2012,"ROB",0,0,0
"115",6,2013,"LOB",0,0,0
"116",6,2013,"MC",0,0,0
"117",6,2013,"ROB",0,0,0
"118",6,2014,"LOB",0,0,0
"119",6,2014,"MC",0,0,0
"120",6,2014,"ROB",0,0,0
"121",6,2015,"LOB",0,0,0
"122",6,2015,"MC",0,0,0
"123",6,2015,"ROB",0,0,0
"124",6,2016,"LOB",0,0,0
"125",6,2016,"MC",0,0,0
"126",6,2016,"ROB",0,0,0
"127",7,2010,"LOB",0,0,0
"128",7,2010,"MC",0,0,0
"129",7,2010,"ROB",0,0,0
"130",7,2011,"LOB",0,0,0
"131",7,2011,"MC",0,0,0
"132",7,2011,"ROB",0,0,0
"133",7,2012,"LOB",0,0,0
"134",7,2012,"MC",0,0,0
"135",7,2012,"ROB",0,0,0
"136",7,2013,"LOB",0,0,0
"137",7,2013,"MC",0,0,0
"138",7,2013,"ROB",0,0,0
"139",7,2014,"LOB",0,0,0
"140",7,2014,"MC",0,0,0
"141",7,2014,"ROB",0,0,0
"142",7,2015,"LOB",0,0,0
