"","water_year","days_per_water_year","suitablility"
"1",2010,330,"No"
"2",2011,351,"No"
"3",2012,348,"No"
"4",2013,359,"No"
"5",2014,345,"No"
"6",2015,349,"No"
"7",2016,329,"No"
