"","water_year","days_per_water_year","suitablility"
"1",2010,737,"No"
"2",2011,732,"No"
"3",2012,730,"No"
"4",2013,731,"No"
"5",2014,730,"No"
"6",2015,732,"No"
"7",2016,730,"No"
