"","season","position","water_year","Probability_Threshold","value"
"1","non_critical","MC",2010,"Low",0
"2","critical","MC",2010,"Low",0
"3","non_critical","MC",2011,"Low",0
"4","critical","MC",2011,"Low",0
"5","non_critical","MC",2012,"Low",0
"6","critical","MC",2012,"Low",0
"7","non_critical","MC",2013,"Low",0
"8","critical","MC",2013,"Low",0
"9","non_critical","MC",2014,"Low",0
"10","critical","MC",2014,"Low",0
"11","non_critical","MC",2015,"Low",0
"12","critical","MC",2015,"Low",0
"13","non_critical","MC",2016,"Low",0
"14","critical","MC",2016,"Low",0
"15","non_critical","LOB",2010,"Low",2.61445370476082
"16","critical","LOB",2010,"Low",2.61445370476082
"17","non_critical","LOB",2011,"Low",1.05874316939891
"18","critical","LOB",2011,"Low",1.05874316939891
"19","non_critical","LOB",2012,"Low",0.570776255707762
"20","critical","LOB",2012,"Low",0.570776255707762
"21","non_critical","LOB",2013,"Low",0.422374429223744
"22","critical","LOB",2013,"Low",0.422374429223744
"23","non_critical","LOB",2014,"Low",0.742009132420091
"24","critical","LOB",2014,"Low",0.742009132420091
"25","non_critical","LOB",2015,"Low",0.626138433515483
"26","critical","LOB",2015,"Low",0.626138433515483
"27","non_critical","LOB",2016,"Low",2.21461187214612
"28","critical","LOB",2016,"Low",2.21461187214612
"29","non_critical","ROB",2010,"Low",2.64870418997602
"30","critical","ROB",2010,"Low",2.64870418997602
"31","non_critical","ROB",2011,"Low",1.08151183970856
"32","critical","ROB",2011,"Low",1.08151183970856
"33","non_critical","ROB",2012,"Low",0.605022831050228
"34","critical","ROB",2012,"Low",0.605022831050228
"35","non_critical","ROB",2013,"Low",0.422374429223744
"36","critical","ROB",2013,"Low",0.422374429223744
"37","non_critical","ROB",2014,"Low",0.764840182648402
"38","critical","ROB",2014,"Low",0.764840182648402
"39","non_critical","ROB",2015,"Low",0.63752276867031
"40","critical","ROB",2015,"Low",0.63752276867031
"41","non_critical","ROB",2016,"Low",2.23744292237443
"42","critical","ROB",2016,"Low",2.23744292237443
"43","non_critical","MC",2010,"Medium",0
"44","critical","MC",2010,"Medium",0
"45","non_critical","MC",2011,"Medium",0
"46","critical","MC",2011,"Medium",0
"47","non_critical","MC",2012,"Medium",0
"48","critical","MC",2012,"Medium",0
"49","non_critical","MC",2013,"Medium",0
"50","critical","MC",2013,"Medium",0
"51","non_critical","MC",2014,"Medium",0
"52","critical","MC",2014,"Medium",0
"53","non_critical","MC",2015,"Medium",0
"54","critical","MC",2015,"Medium",0
"55","non_critical","MC",2016,"Medium",0
"56","critical","MC",2016,"Medium",0
"57","non_critical","LOB",2010,"Medium",2.0664459413175
"58","critical","LOB",2010,"Medium",2.0664459413175
"59","non_critical","LOB",2011,"Medium",0.717213114754098
"60","critical","LOB",2011,"Medium",0.717213114754098
"61","non_critical","LOB",2012,"Medium",0.273972602739726
"62","critical","LOB",2012,"Medium",0.273972602739726
"63","non_critical","LOB",2013,"Medium",0.308219178082192
"64","critical","LOB",2013,"Medium",0.308219178082192
"65","non_critical","LOB",2014,"Medium",0.479452054794521
"66","critical","LOB",2014,"Medium",0.479452054794521
"67","non_critical","LOB",2015,"Medium",0.432604735883424
"68","critical","LOB",2015,"Medium",0.432604735883424
"69","non_critical","LOB",2016,"Medium",1.43835616438356
"70","critical","LOB",2016,"Medium",1.43835616438356
"71","non_critical","ROB",2010,"Medium",2.12353008334285
"72","critical","ROB",2010,"Medium",2.12353008334285
"73","non_critical","ROB",2011,"Medium",0.728597449908925
"74","critical","ROB",2011,"Medium",0.728597449908925
