"","month","water_year","position","days_per_month_low","days_per_month_medium","days_per_month_high"
"1",1,2010,"LOB",31,3,3
"2",1,2010,"MC",0,34,2
"3",1,2010,"ROB",0,0,3
"4",1,2011,"LOB",31,2,2
"5",1,2011,"MC",0,32,2
"6",1,2011,"ROB",0,0,2
"7",1,2012,"LOB",31,6,3
"8",1,2012,"MC",0,35,4
"9",1,2012,"ROB",0,0,5
"10",1,2013,"LOB",31,0,0
"11",1,2013,"MC",0,31,0
"12",1,2013,"ROB",0,0,0
"13",1,2014,"LOB",31,4,2
"14",1,2014,"MC",0,34,1
"15",1,2014,"ROB",0,0,4
"16",1,2015,"LOB",31,5,5
"17",1,2015,"MC",0,37,4
"18",1,2015,"ROB",0,0,5
"19",1,2016,"LOB",31,12,11
"20",1,2016,"MC",0,48,8
"21",1,2016,"ROB",0,0,14
"22",2,2010,"LOB",28,8,5
"23",2,2010,"MC",0,32,2
"24",2,2010,"ROB",0,0,7
"25",2,2011,"LOB",29,1,0
"26",2,2011,"MC",0,29,0
"27",2,2011,"ROB",0,0,1
"28",2,2012,"LOB",28,3,1
"29",2,2012,"MC",0,30,0
"30",2,2012,"ROB",0,0,3
"31",2,2013,"LOB",28,4,3
"32",2,2013,"MC",0,32,5
"33",2,2013,"ROB",0,0,4
"34",2,2014,"LOB",28,4,1
"35",2,2014,"MC",0,29,1
"36",2,2014,"ROB",0,0,3
"37",2,2015,"LOB",29,2,2
"38",2,2015,"MC",0,30,0
"39",2,2015,"ROB",0,0,2
"40",2,2016,"LOB",28,17,12
"41",2,2016,"MC",0,41,7
"42",2,2016,"ROB",0,0,15
"43",3,2010,"LOB",31,16,12
"44",3,2010,"MC",0,36,19
"45",3,2010,"ROB",0,0,15
"46",3,2011,"LOB",31,6,3
"47",3,2011,"MC",0,34,4
"48",3,2011,"ROB",0,0,6
"49",3,2012,"LOB",31,1,1
"50",3,2012,"MC",0,31,1
"51",3,2012,"ROB",0,0,2
"52",3,2013,"LOB",31,1,2
"53",3,2013,"MC",0,32,0
"54",3,2013,"ROB",0,0,1
"55",3,2014,"LOB",31,5,3
"56",3,2014,"MC",0,33,0
"57",3,2014,"ROB",0,0,4
"58",3,2015,"LOB",31,3,3
"59",3,2015,"MC",0,31,1
"60",3,2015,"ROB",0,0,3
"61",3,2016,"LOB",31,3,1
"62",3,2016,"MC",0,32,2
"63",3,2016,"ROB",0,0,2
"64",4,2010,"LOB",30,9,0
"65",4,2010,"MC",0,30,5
"66",4,2010,"ROB",0,0,8
"67",4,2011,"LOB",31,3,3
"68",4,2011,"MC",0,35,2
"69",4,2011,"ROB",0,0,4
"70",4,2012,"LOB",30,0,0
"71",4,2012,"MC",0,30,0
"72",4,2012,"ROB",0,0,0
"73",4,2013,"LOB",30,2,1
"74",4,2013,"MC",0,30,0
"75",4,2013,"ROB",0,0,2
"76",4,2014,"LOB",30,1,0
"77",4,2014,"MC",0,31,0
"78",4,2014,"ROB",0,0,1
"79",4,2015,"LOB",30,2,2
"80",4,2015,"MC",0,33,1
"81",4,2015,"ROB",0,0,2
"82",4,2016,"LOB",30,1,1
"83",4,2016,"MC",0,30,0
"84",4,2016,"ROB",0,0,1
"85",5,2010,"LOB",31,3,3
"86",5,2010,"MC",0,33,0
"87",5,2010,"ROB",0,0,3
"88",5,2011,"LOB",31,0,0
"89",5,2011,"MC",0,31,0
"90",5,2011,"ROB",0,0,0
"91",5,2012,"LOB",31,2,2
"92",5,2012,"MC",0,32,1
"93",5,2012,"ROB",0,0,2
"94",5,2013,"LOB",31,0,0
"95",5,2013,"MC",0,31,0
"96",5,2013,"ROB",0,0,0
"97",5,2014,"LOB",31,2,1
"98",5,2014,"MC",0,31,1
"99",5,2014,"ROB",0,0,1
"100",5,2015,"LOB",31,1,2
"101",5,2015,"MC",0,33,1
"102",5,2015,"ROB",0,0,1
"103",5,2016,"LOB",31,2,0
"104",5,2016,"MC",0,32,0
"105",5,2016,"ROB",0,0,1
"106",6,2010,"LOB",30,0,0
"107",6,2010,"MC",0,30,0
"108",6,2010,"ROB",0,0,0
"109",6,2011,"LOB",30,0,0
"110",6,2011,"MC",0,30,0
"111",6,2011,"ROB",0,0,0
"112",6,2012,"LOB",30,0,0
"113",6,2012,"MC",0,30,0
"114",6,2012,"ROB",0,0,0
"115",6,2013,"LOB",30,0,0
"116",6,2013,"MC",0,30,0
"117",6,2013,"ROB",0,0,0
"118",6,2014,"LOB",30,0,0
"119",6,2014,"MC",0,30,0
"120",6,2014,"ROB",0,0,0
"121",6,2015,"LOB",30,0,0
"122",6,2015,"MC",0,30,0
"123",6,2015,"ROB",0,0,0
"124",6,2016,"LOB",30,0,0
"125",6,2016,"MC",0,30,0
"126",6,2016,"ROB",0,0,0
"127",7,2010,"LOB",31,0,0
"128",7,2010,"MC",0,31,0
"129",7,2010,"ROB",0,0,0
"130",7,2011,"LOB",31,0,0
"131",7,2011,"MC",0,31,0
"132",7,2011,"ROB",0,0,0
"133",7,2012,"LOB",31,0,0
"134",7,2012,"MC",0,31,0
"135",7,2012,"ROB",0,0,0
"136",7,2013,"LOB",31,0,0
"137",7,2013,"MC",0,31,0
"138",7,2013,"ROB",0,0,0
"139",7,2014,"LOB",31,0,0
"140",7,2014,"MC",0,31,0
"141",7,2014,"ROB",0,0,0
"142",7,2015,"LOB",31,0,0
"143",7,2015,"MC",0,31,0
"144",7,2015,"ROB",0,0,0
"145",7,2016,"LOB",31,0,0
"146",7,2016,"MC",0,31,0
"147",7,2016,"ROB",0,0,0
"148",8,2010,"LOB",31,0,0
"149",8,2010,"MC",0,31,0
"150",8,2010,"ROB",0,0,0
"151",8,2011,"LOB",31,0,0
"152",8,2011,"MC",0,31,0
"153",8,2011,"ROB",0,0,0
"154",8,2012,"LOB",31,0,0
"155",8,2012,"MC",0,31,0
"156",8,2012,"ROB",0,0,0
"157",8,2013,"LOB",31,0,0
"158",8,2013,"MC",0,31,0
"159",8,2013,"ROB",0,0,0
"160",8,2014,"LOB",31,0,0
"161",8,2014,"MC",0,31,0
"162",8,2014,"ROB",0,0,0
"163",8,2015,"LOB",31,0,0
"164",8,2015,"MC",0,31,0
"165",8,2015,"ROB",0,0,0
"166",8,2016,"LOB",31,0,0
"167",8,2016,"MC",0,31,0
"168",8,2016,"ROB",0,0,0
"169",9,2010,"LOB",30,0,0
"170",9,2010,"MC",0,30,0
"171",9,2010,"ROB",0,0,0
"172",9,2011,"LOB",30,0,0
"173",9,2011,"MC",0,30,0
"174",9,2011,"ROB",0,0,0
"175",9,2012,"LOB",30,0,0
"176",9,2012,"MC",0,30,0
"177",9,2012,"ROB",0,0,0
"178",9,2013,"LOB",30,0,0
"179",9,2013,"MC",0,30,0
"180",9,2013,"ROB",0,0,0
"181",9,2014,"LOB",30,0,0
"182",9,2014,"MC",0,31,0
"183",9,2014,"ROB",0,0,0
"184",9,2015,"LOB",30,0,0
"185",9,2015,"MC",0,30,0
"186",9,2015,"ROB",0,0,0
"187",9,2016,"LOB",30,0,0
"188",9,2016,"MC",0,30,0
"189",9,2016,"ROB",0,0,0
"190",10,2010,"LOB",31,13,4
"191",10,2010,"MC",0,34,2
"192",10,2010,"ROB",0,0,10
"193",10,2011,"LOB",31,1,1
"194",10,2011,"MC",0,32,1
"195",10,2011,"ROB",0,0,1
"196",10,2012,"LOB",31,1,0
"197",10,2012,"MC",0,32,0
"198",10,2012,"ROB",0,0,1
"199",10,2013,"LOB",31,1,0
"200",10,2013,"MC",0,31,1
"201",10,2013,"ROB",0,0,1
"202",10,2014,"LOB",31,0,0
"203",10,2014,"MC",0,31,0
"204",10,2014,"ROB",0,0,0
"205",10,2015,"LOB",31,2,1
"206",10,2015,"MC",0,32,0
"207",10,2015,"ROB",0,0,2
"208",10,2016,"LOB",31,4,1
"209",10,2016,"MC",0,33,1
"210",10,2016,"ROB",0,0,4
"211",11,2010,"LOB",30,4,3
"212",11,2010,"MC",0,33,0
"213",11,2010,"ROB",0,0,4
"214",11,2011,"LOB",30,9,4
"215",11,2011,"MC",0,36,3
"216",11,2011,"ROB",0,0,5
"217",11,2012,"LOB",30,8,3
"218",11,2012,"MC",0,33,4
"219",11,2012,"ROB",0,0,6
"220",11,2013,"LOB",30,2,2
"221",11,2013,"MC",0,31,0
"222",11,2013,"ROB",0,0,2
"223",11,2014,"LOB",30,2,2
"224",11,2014,"MC",0,32,1
"225",11,2014,"ROB",0,0,2
"226",11,2015,"LOB",30,0,0
"227",11,2015,"MC",0,30,0
"228",11,2015,"ROB",0,0,0
"229",11,2016,"LOB",30,3,3
"230",11,2016,"MC",0,32,1
"231",11,2016,"ROB",0,0,3
"232",12,2010,"LOB",31,14,12
"233",12,2010,"MC",0,36,13
"234",12,2010,"ROB",0,0,15
"235",12,2011,"LOB",31,4,3
"236",12,2011,"MC",0,35,2
"237",12,2011,"ROB",0,0,2
"238",12,2012,"LOB",31,18,7
"239",12,2012,"MC",0,35,5
"240",12,2012,"ROB",0,0,14
"241",12,2013,"LOB",31,2,2
"242",12,2013,"MC",0,33,0
"243",12,2013,"ROB",0,0,2
"244",12,2014,"LOB",31,8,6
"245",12,2014,"MC",0,37,5
"246",12,2014,"ROB",0,0,8
"247",12,2015,"LOB",31,4,3
"248",12,2015,"MC",0,33,3
"249",12,2015,"ROB",0,0,4
"250",12,2016,"LOB",31,8,7
"251",12,2016,"MC",0,37,3
"252",12,2016,"ROB",0,0,8
