"","season","position","water_year","Probability_Threshold","value"
"1","non_critical","MC",2010,"Low",13.6545267724626
"2","critical","MC",2010,"Low",13.6545267724626
"3","non_critical","MC",2011,"Low",2.83469945355191
"4","critical","MC",2011,"Low",2.83469945355191
"5","non_critical","MC",2012,"Low",4.44063926940639
"6","critical","MC",2012,"Low",4.44063926940639
"7","non_critical","MC",2013,"Low",1.6324200913242
"8","critical","MC",2013,"Low",1.6324200913242
"9","non_critical","MC",2014,"Low",2.8310502283105
"10","critical","MC",2014,"Low",2.8310502283105
"11","non_critical","MC",2015,"Low",2.43624772313297
"12","critical","MC",2015,"Low",2.43624772313297
"13","non_critical","MC",2016,"Low",6.03881278538813
"14","critical","MC",2016,"Low",6.03881278538813
"15","non_critical","LOB",2010,"Low",3.60771777600183
"16","critical","LOB",2010,"Low",3.60771777600183
"17","non_critical","LOB",2011,"Low",1.25227686703097
"18","critical","LOB",2011,"Low",1.25227686703097
"19","non_critical","LOB",2012,"Low",1.33561643835616
"20","critical","LOB",2012,"Low",1.33561643835616
"21","non_critical","LOB",2013,"Low",0.810502283105023
"22","critical","LOB",2013,"Low",0.810502283105023
"23","non_critical","LOB",2014,"Low",1.32420091324201
"24","critical","LOB",2014,"Low",1.32420091324201
"25","non_critical","LOB",2015,"Low",0.831056466302368
"26","critical","LOB",2015,"Low",0.831056466302368
"27","non_critical","LOB",2016,"Low",2.71689497716895
"28","critical","LOB",2016,"Low",2.71689497716895
"29","non_critical","ROB",2010,"Low",2.61445370476082
"30","critical","ROB",2010,"Low",2.61445370476082
"31","non_critical","ROB",2011,"Low",0.967668488160291
"32","critical","ROB",2011,"Low",0.967668488160291
"33","non_critical","ROB",2012,"Low",0.810502283105023
"34","critical","ROB",2012,"Low",0.810502283105023
"35","non_critical","ROB",2013,"Low",0.422374429223744
"36","critical","ROB",2013,"Low",0.422374429223744
"37","non_critical","ROB",2014,"Low",0.776255707762557
"38","critical","ROB",2014,"Low",0.776255707762557
"39","non_critical","ROB",2015,"Low",0.603369763205829
"40","critical","ROB",2015,"Low",0.603369763205829
"41","non_critical","ROB",2016,"Low",1.87214611872146
"42","critical","ROB",2016,"Low",1.87214611872146
"43","non_critical","MC",2010,"Medium",7.87761159949766
"44","critical","MC",2010,"Medium",7.87761159949766
"45","non_critical","MC",2011,"Medium",1.91256830601093
"46","critical","MC",2011,"Medium",1.91256830601093
"47","non_critical","MC",2012,"Medium",2.38584474885845
"48","critical","MC",2012,"Medium",2.38584474885845
"49","non_critical","MC",2013,"Medium",1.13013698630137
"50","critical","MC",2013,"Medium",1.13013698630137
"51","non_critical","MC",2014,"Medium",2.02054794520548
"52","critical","MC",2014,"Medium",2.02054794520548
"53","non_critical","MC",2015,"Medium",1.53688524590164
"54","critical","MC",2015,"Medium",1.53688524590164
"55","non_critical","MC",2016,"Medium",3.98401826484018
"56","critical","MC",2016,"Medium",3.98401826484018
"57","non_critical","LOB",2010,"Medium",3.09396049777372
"58","critical","LOB",2010,"Medium",3.09396049777372
"59","non_critical","LOB",2011,"Medium",1.07012750455373
"60","critical","LOB",2011,"Medium",1.07012750455373
"61","non_critical","LOB",2012,"Medium",1.06164383561644
"62","critical","LOB",2012,"Medium",1.06164383561644
"63","non_critical","LOB",2013,"Medium",0.605022831050228
"64","critical","LOB",2013,"Medium",0.605022831050228
"65","non_critical","LOB",2014,"Medium",0.981735159817352
"66","critical","LOB",2014,"Medium",0.981735159817352
