"","water_year","days_per_water_year","suitablility"
"1",2010,364,"No"
"2",2011,366,"No"
"3",2012,365,"No"
"4",2013,364,"No"
"5",2014,362,"No"
"6",2015,362,"No"
"7",2016,365,"No"
