"","season","position","water_year","Probability_Threshold","value"
"1","non_critical","MC",2010,"Low",14.716291814134
"2","critical","MC",2010,"Low",14.716291814134
"3","non_critical","MC",2011,"Low",5.72632058287796
"4","critical","MC",2011,"Low",5.72632058287796
"5","non_critical","MC",2012,"Low",7.52283105022831
"6","critical","MC",2012,"Low",7.52283105022831
"7","non_critical","MC",2013,"Low",2.56849315068493
"8","critical","MC",2013,"Low",2.56849315068493
"9","non_critical","MC",2014,"Low",4.88584474885845
"10","critical","MC",2014,"Low",4.88584474885845
"11","non_critical","MC",2015,"Low",4.42850637522769
"12","critical","MC",2015,"Low",4.42850637522769
"13","non_critical","MC",2016,"Low",9.88584474885845
"14","critical","MC",2016,"Low",9.88584474885845
"15","non_critical","LOB",2010,"Low",5.37732617878753
"16","critical","LOB",2010,"Low",5.37732617878753
"17","non_critical","LOB",2011,"Low",2.21994535519126
"18","critical","LOB",2011,"Low",2.21994535519126
"19","non_critical","LOB",2012,"Low",2.19178082191781
"20","critical","LOB",2012,"Low",2.19178082191781
"21","non_critical","LOB",2013,"Low",1.14155251141552
"22","critical","LOB",2013,"Low",1.14155251141552
"23","non_critical","LOB",2014,"Low",2.20319634703196
"24","critical","LOB",2014,"Low",2.20319634703196
"25","non_critical","LOB",2015,"Low",1.71903460837887
"26","critical","LOB",2015,"Low",1.71903460837887
"27","non_critical","LOB",2016,"Low",4.31506849315068
"28","critical","LOB",2016,"Low",4.31506849315068
"29","non_critical","ROB",2010,"Low",5.43441032081288
"30","critical","ROB",2010,"Low",5.43441032081288
"31","non_critical","ROB",2011,"Low",2.24271402550091
"32","critical","ROB",2011,"Low",2.24271402550091
"33","non_critical","ROB",2012,"Low",2.20319634703196
"34","critical","ROB",2012,"Low",2.20319634703196
"35","non_critical","ROB",2013,"Low",1.17579908675799
"36","critical","ROB",2013,"Low",1.17579908675799
"37","non_critical","ROB",2014,"Low",2.22602739726027
"38","critical","ROB",2014,"Low",2.22602739726027
"39","non_critical","ROB",2015,"Low",1.74180327868852
"40","critical","ROB",2015,"Low",1.74180327868852
"41","non_critical","ROB",2016,"Low",4.40639269406393
"42","critical","ROB",2016,"Low",4.40639269406393
"43","non_critical","MC",2010,"Medium",0.422422650987556
"44","critical","MC",2010,"Medium",0.422422650987556
"45","non_critical","MC",2011,"Medium",0.0910746812386157
"46","critical","MC",2011,"Medium",0.0910746812386157
"47","non_critical","MC",2012,"Medium",0
"48","critical","MC",2012,"Medium",0
"49","non_critical","MC",2013,"Medium",0.0684931506849315
"50","critical","MC",2013,"Medium",0.0684931506849315
"51","non_critical","MC",2014,"Medium",0.102739726027397
"52","critical","MC",2014,"Medium",0.102739726027397
"53","non_critical","MC",2015,"Medium",0.125227686703097
"54","critical","MC",2015,"Medium",0.125227686703097
"55","non_critical","MC",2016,"Medium",0.399543378995434
"56","critical","MC",2016,"Medium",0.399543378995434
"57","non_critical","LOB",2010,"Medium",0.0114168284050691
"58","critical","LOB",2010,"Medium",0.0114168284050691
"59","non_critical","LOB",2011,"Medium",0
"60","critical","LOB",2011,"Medium",0
"61","non_critical","LOB",2012,"Medium",0
"62","critical","LOB",2012,"Medium",0
"63","non_critical","LOB",2013,"Medium",0
"64","critical","LOB",2013,"Medium",0
"65","non_critical","LOB",2014,"Medium",0
"66","critical","LOB",2014,"Medium",0
"67","non_critical","LOB",2015,"Medium",0
"68","critical","LOB",2015,"Medium",0
"69","non_critical","LOB",2016,"Medium",0.0114155251141553
"70","critical","LOB",2016,"Medium",0.0114155251141553
"71","non_critical","ROB",2010,"Medium",0.0114168284050691
"72","critical","ROB",2010,"Medium",0.0114168284050691
"73","non_critical","ROB",2011,"Medium",0
"74","critical","ROB",2011,"Medium",0
"75","non_critical","ROB",2012,"Medium",0
"76","critical","ROB",2012,"Medium",0
"77","non_critical","ROB",2013,"Medium",0
"78","critical","ROB",2013,"Medium",0
"79","non_critical","ROB",2014,"Medium",0
"80","critical","ROB",2014,"Medium",0
"81","non_critical","ROB",2015,"Medium",0
"82","critical","ROB",2015,"Medium",0
"83","non_critical","ROB",2016,"Medium",0.0114155251141553
"84","critical","ROB",2016,"Medium",0.0114155251141553
"85","non_critical","MC",2010,"High",0
"86","critical","MC",2010,"High",0
"87","non_critical","MC",2011,"High",0
"88","critical","MC",2011,"High",0
"89","non_critical","MC",2012,"High",0
"90","critical","MC",2012,"High",0
"91","non_critical","MC",2013,"High",0
"92","critical","MC",2013,"High",0
"93","non_critical","MC",2014,"High",0
"94","critical","MC",2014,"High",0
"95","non_critical","MC",2015,"High",0
"96","critical","MC",2015,"High",0
"97","non_critical","MC",2016,"High",0
"98","critical","MC",2016,"High",0
"99","non_critical","LOB",2010,"High",0
"100","critical","LOB",2010,"High",0
"101","non_critical","LOB",2011,"High",0
"102","critical","LOB",2011,"High",0
"103","non_critical","LOB",2012,"High",0
"104","critical","LOB",2012,"High",0
"105","non_critical","LOB",2013,"High",0
"106","critical","LOB",2013,"High",0
"107","non_critical","LOB",2014,"High",0
"108","critical","LOB",2014,"High",0
"109","non_critical","LOB",2015,"High",0
"110","critical","LOB",2015,"High",0
"111","non_critical","LOB",2016,"High",0
"112","critical","LOB",2016,"High",0
"113","non_critical","ROB",2010,"High",0
"114","critical","ROB",2010,"High",0
"115","non_critical","ROB",2011,"High",0
"116","critical","ROB",2011,"High",0
"117","non_critical","ROB",2012,"High",0
"118","critical","ROB",2012,"High",0
"119","non_critical","ROB",2013,"High",0
"120","critical","ROB",2013,"High",0
"121","non_critical","ROB",2014,"High",0
"122","critical","ROB",2014,"High",0
"123","non_critical","ROB",2015,"High",0
"124","critical","ROB",2015,"High",0
"125","non_critical","ROB",2016,"High",0
"126","critical","ROB",2016,"High",0
"127","non_critical","MC",2010,"Low.Seasonal",25.8071902908175
"128","critical","MC",2010,"Low.Seasonal",3.68852459016393
"129","non_critical","MC",2011,"Low.Seasonal",8.83424408014572
"130","critical","MC",2011,"Low.Seasonal",2.6183970856102
"131","non_critical","MC",2012,"Low.Seasonal",14.0796703296703
"132","critical","MC",2012,"Low.Seasonal",1.00182149362477
"133","non_critical","MC",2013,"Low.Seasonal",4.57875457875458
"134","critical","MC",2013,"Low.Seasonal",0.569216757741348
"135","non_critical","MC",2014,"Low.Seasonal",8.1043956043956
"136","critical","MC",2014,"Low.Seasonal",1.68488160291439
"137","non_critical","MC",2015,"Low.Seasonal",7.28597449908925
"138","critical","MC",2015,"Low.Seasonal",1.57103825136612
"139","non_critical","MC",2016,"Low.Seasonal",18.9102564102564
"140","critical","MC",2016,"Low.Seasonal",0.910746812386157
"141","non_critical","LOB",2010,"Low.Seasonal",10.3961529654225
"142","critical","LOB",2010,"Low.Seasonal",0.387067395264117
"143","non_critical","LOB",2011,"Low.Seasonal",3.4608378870674
"144","critical","LOB",2011,"Low.Seasonal",0.979052823315118
"145","non_critical","LOB",2012,"Low.Seasonal",4.02930402930403
"146","critical","LOB",2012,"Low.Seasonal",0.364298724954463
"147","non_critical","LOB",2013,"Low.Seasonal",2.17490842490842
"148","critical","LOB",2013,"Low.Seasonal",0.11384335154827
"149","non_critical","LOB",2014,"Low.Seasonal",3.98351648351648
"150","critical","LOB",2014,"Low.Seasonal",0.432604735883424
"151","non_critical","LOB",2015,"Low.Seasonal",3.00546448087432
"152","critical","LOB",2015,"Low.Seasonal",0.432604735883424
"153","non_critical","LOB",2016,"Low.Seasonal",8.49358974358974
"154","critical","LOB",2016,"Low.Seasonal",0.159380692167577
"155","non_critical","ROB",2010,"Low.Seasonal",10.5106480421342
"156","critical","ROB",2010,"Low.Seasonal",0.387067395264117
"157","non_critical","ROB",2011,"Low.Seasonal",3.48360655737705
"158","critical","ROB",2011,"Low.Seasonal",1.00182149362477
"159","non_critical","ROB",2012,"Low.Seasonal",4.0521978021978
"160","critical","ROB",2012,"Low.Seasonal",0.364298724954463
"161","non_critical","ROB",2013,"Low.Seasonal",2.24358974358974
"162","critical","ROB",2013,"Low.Seasonal",0.11384335154827
"163","non_critical","ROB",2014,"Low.Seasonal",4.02930402930403
"164","critical","ROB",2014,"Low.Seasonal",0.432604735883424
"165","non_critical","ROB",2015,"Low.Seasonal",3.02823315118397
"166","critical","ROB",2015,"Low.Seasonal",0.455373406193078
"167","non_critical","ROB",2016,"Low.Seasonal",8.65384615384615
"168","critical","ROB",2016,"Low.Seasonal",0.182149362477231
"169","non_critical","MC",2010,"Medium.Seasonal",0.84726356766659
"170","critical","MC",2010,"Medium.Seasonal",0
"171","non_critical","MC",2011,"Medium.Seasonal",0.136612021857924
"172","critical","MC",2011,"Medium.Seasonal",0.0455373406193078
"173","non_critical","MC",2012,"Medium.Seasonal",0
"174","critical","MC",2012,"Medium.Seasonal",0
"175","non_critical","MC",2013,"Medium.Seasonal",0.137362637362637
"176","critical","MC",2013,"Medium.Seasonal",0
"177","non_critical","MC",2014,"Medium.Seasonal",0.206043956043956
"178","critical","MC",2014,"Medium.Seasonal",0
"179","non_critical","MC",2015,"Medium.Seasonal",0.250455373406193
"180","critical","MC",2015,"Medium.Seasonal",0
"181","non_critical","MC",2016,"Medium.Seasonal",0.801282051282051
"182","critical","MC",2016,"Medium.Seasonal",0
"183","non_critical","LOB",2010,"Medium.Seasonal",0.0228990153423403
"184","critical","LOB",2010,"Medium.Seasonal",0
"185","non_critical","LOB",2011,"Medium.Seasonal",0
"186","critical","LOB",2011,"Medium.Seasonal",0
"187","non_critical","LOB",2012,"Medium.Seasonal",0
"188","critical","LOB",2012,"Medium.Seasonal",0
"189","non_critical","LOB",2013,"Medium.Seasonal",0
"190","critical","LOB",2013,"Medium.Seasonal",0
"191","non_critical","LOB",2014,"Medium.Seasonal",0
"192","critical","LOB",2014,"Medium.Seasonal",0
"193","non_critical","LOB",2015,"Medium.Seasonal",0
"194","critical","LOB",2015,"Medium.Seasonal",0
"195","non_critical","LOB",2016,"Medium.Seasonal",0.0228937728937729
"196","critical","LOB",2016,"Medium.Seasonal",0
"197","non_critical","ROB",2010,"Medium.Seasonal",0.0228990153423403
"198","critical","ROB",2010,"Medium.Seasonal",0
"199","non_critical","ROB",2011,"Medium.Seasonal",0
"200","critical","ROB",2011,"Medium.Seasonal",0
"201","non_critical","ROB",2012,"Medium.Seasonal",0
"202","critical","ROB",2012,"Medium.Seasonal",0
"203","non_critical","ROB",2013,"Medium.Seasonal",0
"204","critical","ROB",2013,"Medium.Seasonal",0
"205","non_critical","ROB",2014,"Medium.Seasonal",0
"206","critical","ROB",2014,"Medium.Seasonal",0
"207","non_critical","ROB",2015,"Medium.Seasonal",0
"208","critical","ROB",2015,"Medium.Seasonal",0
"209","non_critical","ROB",2016,"Medium.Seasonal",0.0228937728937729
"210","critical","ROB",2016,"Medium.Seasonal",0
"211","non_critical","MC",2010,"High.Seasonal",0
"212","critical","MC",2010,"High.Seasonal",0
"213","non_critical","MC",2011,"High.Seasonal",0
"214","critical","MC",2011,"High.Seasonal",0
"215","non_critical","MC",2012,"High.Seasonal",0
"216","critical","MC",2012,"High.Seasonal",0
"217","non_critical","MC",2013,"High.Seasonal",0
"218","critical","MC",2013,"High.Seasonal",0
"219","non_critical","MC",2014,"High.Seasonal",0
"220","critical","MC",2014,"High.Seasonal",0
"221","non_critical","MC",2015,"High.Seasonal",0
"222","critical","MC",2015,"High.Seasonal",0
"223","non_critical","MC",2016,"High.Seasonal",0
"224","critical","MC",2016,"High.Seasonal",0
"225","non_critical","LOB",2010,"High.Seasonal",0
"226","critical","LOB",2010,"High.Seasonal",0
"227","non_critical","LOB",2011,"High.Seasonal",0
"228","critical","LOB",2011,"High.Seasonal",0
"229","non_critical","LOB",2012,"High.Seasonal",0
"230","critical","LOB",2012,"High.Seasonal",0
"231","non_critical","LOB",2013,"High.Seasonal",0
"232","critical","LOB",2013,"High.Seasonal",0
"233","non_critical","LOB",2014,"High.Seasonal",0
"234","critical","LOB",2014,"High.Seasonal",0
"235","non_critical","LOB",2015,"High.Seasonal",0
"236","critical","LOB",2015,"High.Seasonal",0
"237","non_critical","LOB",2016,"High.Seasonal",0
"238","critical","LOB",2016,"High.Seasonal",0
"239","non_critical","ROB",2010,"High.Seasonal",0
"240","critical","ROB",2010,"High.Seasonal",0
"241","non_critical","ROB",2011,"High.Seasonal",0
"242","critical","ROB",2011,"High.Seasonal",0
