"","water_year","days_per_water_year","suitablility"
"1",2010,981,"No"
"2",2011,909,"No"
"3",2012,1046,"No"
"4",2013,894,"No"
"5",2014,801,"No"
"6",2015,740,"No"
"7",2016,813,"No"
