"","water_year","position","season","days_per_water_year"
"1",2010,"LOB","critical",90
"2",2010,"LOB","non_critical",158
"3",2010,"MC","critical",0
"4",2010,"MC","non_critical",0
"5",2010,"ROB","critical",20
"6",2010,"ROB","non_critical",53
"7",2011,"LOB","critical",29
"8",2011,"LOB","non_critical",122
"9",2011,"MC","critical",0
"10",2011,"MC","non_critical",0
"11",2011,"ROB","critical",0
"12",2011,"ROB","non_critical",2
"13",2012,"LOB","critical",176
"14",2012,"LOB","non_critical",136
"15",2012,"MC","critical",0
"16",2012,"MC","non_critical",0
"17",2012,"ROB","critical",0
"18",2012,"ROB","non_critical",8
"19",2013,"LOB","critical",42
"20",2013,"LOB","non_critical",71
"21",2013,"MC","critical",0
"22",2013,"MC","non_critical",0
"23",2013,"ROB","critical",0
"24",2013,"ROB","non_critical",2
"25",2014,"LOB","critical",10
"26",2014,"LOB","non_critical",49
"27",2014,"MC","critical",0
"28",2014,"MC","non_critical",0
"29",2014,"ROB","critical",0
"30",2014,"ROB","non_critical",2
"31",2015,"LOB","critical",1
"32",2015,"LOB","non_critical",6
"33",2015,"MC","critical",0
"34",2015,"MC","non_critical",0
"35",2015,"ROB","critical",0
"36",2015,"ROB","non_critical",0
"37",2016,"LOB","critical",1
"38",2016,"LOB","non_critical",80
"39",2016,"MC","critical",0
"40",2016,"MC","non_critical",0
"41",2016,"ROB","critical",0
"42",2016,"ROB","non_critical",36
