"","water_year","days_per_water_year","suitablility"
"1",2010,896,"No"
"2",2011,996,"No"
"3",2012,866,"No"
"4",2013,927,"No"
"5",2014,660,"No"
"6",2015,192,"Yes"
"7",2016,208,"Yes"
