"","season","position","water_year","Probability_Threshold","value"
"135","non_critical","MC",2014,"Low.Seasonal",26.3507326007326
"136","critical","MC",2014,"Low.Seasonal",4.87249544626594
"137","non_critical","MC",2015,"Low.Seasonal",11.4981785063752
"138","critical","MC",2015,"Low.Seasonal",2.04918032786885
"139","non_critical","MC",2016,"Low.Seasonal",49.8168498168498
"140","critical","MC",2016,"Low.Seasonal",1.32058287795993
"141","non_critical","LOB",2010,"Low.Seasonal",0
"142","critical","LOB",2010,"Low.Seasonal",0
"143","non_critical","LOB",2011,"Low.Seasonal",0
"144","critical","LOB",2011,"Low.Seasonal",0
"145","non_critical","LOB",2012,"Low.Seasonal",0
"146","critical","LOB",2012,"Low.Seasonal",0
"147","non_critical","LOB",2013,"Low.Seasonal",0
"148","critical","LOB",2013,"Low.Seasonal",0
"149","non_critical","LOB",2014,"Low.Seasonal",0
"150","critical","LOB",2014,"Low.Seasonal",0
"151","non_critical","LOB",2015,"Low.Seasonal",0
"152","critical","LOB",2015,"Low.Seasonal",0
"153","non_critical","LOB",2016,"Low.Seasonal",0
"154","critical","LOB",2016,"Low.Seasonal",0
"155","non_critical","ROB",2010,"Low.Seasonal",17.0368674147012
"156","critical","ROB",2010,"Low.Seasonal",2.23132969034608
"157","non_critical","ROB",2011,"Low.Seasonal",3.39253187613843
"158","critical","ROB",2011,"Low.Seasonal",0.865209471766849
"159","non_critical","ROB",2012,"Low.Seasonal",5.28846153846154
"160","critical","ROB",2012,"Low.Seasonal",0.409836065573771
"161","non_critical","ROB",2013,"Low.Seasonal",2.31227106227106
"162","critical","ROB",2013,"Low.Seasonal",0.182149362477231
"163","non_critical","ROB",2014,"Low.Seasonal",4.07509157509157
"164","critical","ROB",2014,"Low.Seasonal",0.432604735883424
"165","non_critical","ROB",2015,"Low.Seasonal",2.89162112932605
"166","critical","ROB",2015,"Low.Seasonal",0.751366120218579
"167","non_critical","ROB",2016,"Low.Seasonal",8.90567765567766
"168","critical","ROB",2016,"Low.Seasonal",0.273224043715847
"169","non_critical","MC",2010,"Medium.Seasonal",1.83192122738722
"170","critical","MC",2010,"Medium.Seasonal",0
"171","non_critical","MC",2011,"Medium.Seasonal",0.705828779599271
"172","critical","MC",2011,"Medium.Seasonal",0.204918032786885
"173","non_critical","MC",2012,"Medium.Seasonal",0.297619047619048
"174","critical","MC",2012,"Medium.Seasonal",0
"175","non_critical","MC",2013,"Medium.Seasonal",0.457875457875458
"176","critical","MC",2013,"Medium.Seasonal",0
"177","non_critical","MC",2014,"Medium.Seasonal",0.434981684981685
"178","critical","MC",2014,"Medium.Seasonal",0.0227686703096539
"179","non_critical","MC",2015,"Medium.Seasonal",0.569216757741348
"180","critical","MC",2015,"Medium.Seasonal",0
"181","non_critical","MC",2016,"Medium.Seasonal",1.32783882783883
"182","critical","MC",2016,"Medium.Seasonal",0
"183","non_critical","LOB",2010,"Medium.Seasonal",0.84726356766659
"184","critical","LOB",2010,"Medium.Seasonal",0
"185","non_critical","LOB",2011,"Medium.Seasonal",0.364298724954463
"186","critical","LOB",2011,"Medium.Seasonal",0.0455373406193078
"187","non_critical","LOB",2012,"Medium.Seasonal",0.0686813186813187
"188","critical","LOB",2012,"Medium.Seasonal",0
"189","non_critical","LOB",2013,"Medium.Seasonal",0.251831501831502
"190","critical","LOB",2013,"Medium.Seasonal",0
"191","non_critical","LOB",2014,"Medium.Seasonal",0.251831501831502
"192","critical","LOB",2014,"Medium.Seasonal",0
"193","non_critical","LOB",2015,"Medium.Seasonal",0.364298724954463
"194","critical","LOB",2015,"Medium.Seasonal",0
"195","non_critical","LOB",2016,"Medium.Seasonal",0.755494505494505
"196","critical","LOB",2016,"Medium.Seasonal",0
"197","non_critical","ROB",2010,"Medium.Seasonal",0.183192122738722
"198","critical","ROB",2010,"Medium.Seasonal",0
"199","non_critical","ROB",2011,"Medium.Seasonal",0.0227686703096539
"200","critical","ROB",2011,"Medium.Seasonal",0.0455373406193078
"201","non_critical","ROB",2012,"Medium.Seasonal",0
"202","critical","ROB",2012,"Medium.Seasonal",0
"203","non_critical","ROB",2013,"Medium.Seasonal",0.0686813186813187
"204","critical","ROB",2013,"Medium.Seasonal",0
"205","non_critical","ROB",2014,"Medium.Seasonal",0.0457875457875458
"206","critical","ROB",2014,"Medium.Seasonal",0
"207","non_critical","ROB",2015,"Medium.Seasonal",0.0455373406193078
"208","critical","ROB",2015,"Medium.Seasonal",0
"209","non_critical","ROB",2016,"Medium.Seasonal",0.228937728937729
"210","critical","ROB",2016,"Medium.Seasonal",0
"211","non_critical","MC",2010,"High.Seasonal",0.0228990153423403
"212","critical","MC",2010,"High.Seasonal",0
"213","non_critical","MC",2011,"High.Seasonal",0
"214","critical","MC",2011,"High.Seasonal",0
"215","non_critical","MC",2012,"High.Seasonal",0
"216","critical","MC",2012,"High.Seasonal",0
"217","non_critical","MC",2013,"High.Seasonal",0
"218","critical","MC",2013,"High.Seasonal",0
"219","non_critical","MC",2014,"High.Seasonal",0
"220","critical","MC",2014,"High.Seasonal",0
"221","non_critical","MC",2015,"High.Seasonal",0
"222","critical","MC",2015,"High.Seasonal",0
"223","non_critical","MC",2016,"High.Seasonal",0.0228937728937729
"224","critical","MC",2016,"High.Seasonal",0
"225","non_critical","LOB",2010,"High.Seasonal",0
"226","critical","LOB",2010,"High.Seasonal",0
"227","non_critical","LOB",2011,"High.Seasonal",0
"228","critical","LOB",2011,"High.Seasonal",0
"229","non_critical","LOB",2012,"High.Seasonal",0
"230","critical","LOB",2012,"High.Seasonal",0
"231","non_critical","LOB",2013,"High.Seasonal",0
"232","critical","LOB",2013,"High.Seasonal",0
"233","non_critical","LOB",2014,"High.Seasonal",0
"234","critical","LOB",2014,"High.Seasonal",0
"235","non_critical","LOB",2015,"High.Seasonal",0
"236","critical","LOB",2015,"High.Seasonal",0
"237","non_critical","LOB",2016,"High.Seasonal",0
"238","critical","LOB",2016,"High.Seasonal",0
"239","non_critical","ROB",2010,"High.Seasonal",0
"240","critical","ROB",2010,"High.Seasonal",0
"241","non_critical","ROB",2011,"High.Seasonal",0
"242","critical","ROB",2011,"High.Seasonal",0
"243","non_critical","ROB",2012,"High.Seasonal",0
"244","critical","ROB",2012,"High.Seasonal",0
"245","non_critical","ROB",2013,"High.Seasonal",0
"246","critical","ROB",2013,"High.Seasonal",0
"247","non_critical","ROB",2014,"High.Seasonal",0
"248","critical","ROB",2014,"High.Seasonal",0
"249","non_critical","ROB",2015,"High.Seasonal",0
"250","critical","ROB",2015,"High.Seasonal",0
"251","non_critical","ROB",2016,"High.Seasonal",0
"252","critical","ROB",2016,"High.Seasonal",0
