"","month_year","water_year","month","season","position","Annual","n_days"
"1",2010-01-01,2010,1,"critical","LOB","days_per_month",31
"2",2010-01-01,2010,1,"critical","MC","days_per_month",31
"3",2010-01-01,2010,1,"critical","ROB","days_per_month",31
"4",2011-01-01,2011,1,"critical","LOB","days_per_month",31
"5",2011-01-01,2011,1,"critical","MC","days_per_month",31
"6",2011-01-01,2011,1,"critical","ROB","days_per_month",31
"7",2012-01-01,2012,1,"critical","LOB","days_per_month",31
"8",2012-01-01,2012,1,"critical","MC","days_per_month",31
"9",2012-01-01,2012,1,"critical","ROB","days_per_month",31
"10",2013-01-01,2013,1,"critical","LOB","days_per_month",31
"11",2013-01-01,2013,1,"critical","MC","days_per_month",31
"12",2013-01-01,2013,1,"critical","ROB","days_per_month",31
"13",2014-01-01,2014,1,"critical","LOB","days_per_month",31
"14",2014-01-01,2014,1,"critical","MC","days_per_month",31
"15",2014-01-01,2014,1,"critical","ROB","days_per_month",31
"16",2015-01-01,2015,1,"critical","LOB","days_per_month",20
"17",2015-01-01,2015,1,"critical","MC","days_per_month",28
"18",2015-01-01,2015,1,"critical","ROB","days_per_month",20
"19",2016-01-01,2016,1,"critical","LOB","days_per_month",14
"20",2016-01-01,2016,1,"critical","MC","days_per_month",14
"21",2016-01-01,2016,1,"critical","ROB","days_per_month",14
"22",2010-02-01,2010,2,"critical","LOB","days_per_month",28
"23",2010-02-01,2010,2,"critical","MC","days_per_month",28
"24",2010-02-01,2010,2,"critical","ROB","days_per_month",28
"25",2011-02-01,2011,2,"critical","LOB","days_per_month",29
"26",2011-02-01,2011,2,"critical","MC","days_per_month",29
"27",2011-02-01,2011,2,"critical","ROB","days_per_month",29
"28",2012-02-01,2012,2,"critical","LOB","days_per_month",27
"29",2012-02-01,2012,2,"critical","MC","days_per_month",28
"30",2012-02-01,2012,2,"critical","ROB","days_per_month",27
"31",2013-02-01,2013,2,"critical","LOB","days_per_month",28
"32",2013-02-01,2013,2,"critical","MC","days_per_month",28
"33",2013-02-01,2013,2,"critical","ROB","days_per_month",28
"34",2014-02-01,2014,2,"critical","LOB","days_per_month",24
"35",2014-02-01,2014,2,"critical","MC","days_per_month",27
"36",2014-02-01,2014,2,"critical","ROB","days_per_month",24
"37",2015-02-01,2015,2,"critical","LOB","days_per_month",24
"38",2015-02-01,2015,2,"critical","MC","days_per_month",28
"39",2015-02-01,2015,2,"critical","ROB","days_per_month",24
"40",2016-02-01,2016,2,"critical","LOB","days_per_month",28
"41",2016-02-01,2016,2,"critical","MC","days_per_month",28
"42",2016-02-01,2016,2,"critical","ROB","days_per_month",28
"43",2010-03-01,2010,3,"critical","LOB","days_per_month",31
"44",2010-03-01,2010,3,"critical","MC","days_per_month",31
"45",2010-03-01,2010,3,"critical","ROB","days_per_month",31
"46",2011-03-01,2011,3,"critical","LOB","days_per_month",13
"47",2011-03-01,2011,3,"critical","MC","days_per_month",17
"48",2011-03-01,2011,3,"critical","ROB","days_per_month",13
"49",2012-03-01,2012,3,"critical","LOB","days_per_month",31
"50",2012-03-01,2012,3,"critical","MC","days_per_month",31
"51",2012-03-01,2012,3,"critical","ROB","days_per_month",31
"52",2013-03-01,2013,3,"critical","LOB","days_per_month",17
"53",2013-03-01,2013,3,"critical","MC","days_per_month",22
"54",2013-03-01,2013,3,"critical","ROB","days_per_month",17
"55",2014-03-01,2014,3,"critical","LOB","days_per_month",31
"56",2014-03-01,2014,3,"critical","MC","days_per_month",31
"57",2014-03-01,2014,3,"critical","ROB","days_per_month",31
"58",2015-03-01,2015,3,"critical","LOB","days_per_month",0
"59",2015-03-01,2015,3,"critical","MC","days_per_month",4
"60",2015-03-01,2015,3,"critical","ROB","days_per_month",0
"61",2016-03-01,2016,3,"critical","LOB","days_per_month",23
"62",2016-03-01,2016,3,"critical","MC","days_per_month",23
"63",2016-03-01,2016,3,"critical","ROB","days_per_month",23
"64",2010-04-01,2010,4,"critical","LOB","days_per_month",30
"65",2010-04-01,2010,4,"critical","MC","days_per_month",30
"66",2010-04-01,2010,4,"critical","ROB","days_per_month",30
"67",2011-04-01,2011,4,"critical","LOB","days_per_month",24
"68",2011-04-01,2011,4,"critical","MC","days_per_month",28
"69",2011-04-01,2011,4,"critical","ROB","days_per_month",24
"70",2012-04-01,2012,4,"critical","LOB","days_per_month",30
"71",2012-04-01,2012,4,"critical","MC","days_per_month",30
"72",2012-04-01,2012,4,"critical","ROB","days_per_month",30
"73",2013-04-01,2013,4,"critical","LOB","days_per_month",30
"74",2013-04-01,2013,4,"critical","MC","days_per_month",30
"75",2013-04-01,2013,4,"critical","ROB","days_per_month",30
"76",2014-04-01,2014,4,"critical","LOB","days_per_month",21
"77",2014-04-01,2014,4,"critical","MC","days_per_month",28
"78",2014-04-01,2014,4,"critical","ROB","days_per_month",21
"79",2015-04-01,2015,4,"critical","LOB","days_per_month",1
"80",2015-04-01,2015,4,"critical","MC","days_per_month",4
"81",2015-04-01,2015,4,"critical","ROB","days_per_month",1
"82",2016-04-01,2016,4,"critical","LOB","days_per_month",0
"83",2016-04-01,2016,4,"critical","MC","days_per_month",2
"84",2016-04-01,2016,4,"critical","ROB","days_per_month",0
"85",2010-05-01,2010,5,"critical","LOB","days_per_month",31
"86",2010-05-01,2010,5,"critical","MC","days_per_month",31
"87",2010-05-01,2010,5,"critical","ROB","days_per_month",31
"88",2011-05-01,2011,5,"critical","LOB","days_per_month",25
"89",2011-05-01,2011,5,"critical","MC","days_per_month",28
"90",2011-05-01,2011,5,"critical","ROB","days_per_month",25
"91",2012-05-01,2012,5,"critical","LOB","days_per_month",31
"92",2012-05-01,2012,5,"critical","MC","days_per_month",31
"93",2012-05-01,2012,5,"critical","ROB","days_per_month",31
"94",2013-05-01,2013,5,"critical","LOB","days_per_month",26
"95",2013-05-01,2013,5,"critical","MC","days_per_month",28
"96",2013-05-01,2013,5,"critical","ROB","days_per_month",26
"97",2014-05-01,2014,5,"critical","LOB","days_per_month",19
"98",2014-05-01,2014,5,"critical","MC","days_per_month",22
"99",2014-05-01,2014,5,"critical","ROB","days_per_month",19
"100",2015-05-01,2015,5,"critical","LOB","days_per_month",0
"101",2015-05-01,2015,5,"critical","MC","days_per_month",0
"102",2015-05-01,2015,5,"critical","ROB","days_per_month",0
"103",2016-05-01,2016,5,"critical","LOB","days_per_month",0
"104",2016-05-01,2016,5,"critical","MC","days_per_month",9
"105",2016-05-01,2016,5,"critical","ROB","days_per_month",0
"106",2010-06-01,2010,6,"critical","LOB","days_per_month",30
"107",2010-06-01,2010,6,"critical","MC","days_per_month",30
"108",2010-06-01,2010,6,"critical","ROB","days_per_month",30
"109",2011-06-01,2011,6,"critical","LOB","days_per_month",21
"110",2011-06-01,2011,6,"critical","MC","days_per_month",25
"111",2011-06-01,2011,6,"critical","ROB","days_per_month",21
"112",2012-06-01,2012,6,"critical","LOB","days_per_month",29
"113",2012-06-01,2012,6,"critical","MC","days_per_month",30
"114",2012-06-01,2012,6,"critical","ROB","days_per_month",29
"115",2013-06-01,2013,6,"critical","LOB","days_per_month",30
"116",2013-06-01,2013,6,"critical","MC","days_per_month",30
"117",2013-06-01,2013,6,"critical","ROB","days_per_month",30
"118",2014-06-01,2014,6,"critical","LOB","days_per_month",0
"119",2014-06-01,2014,6,"critical","MC","days_per_month",4
"120",2014-06-01,2014,6,"critical","ROB","days_per_month",0
"121",2015-06-01,2015,6,"critical","LOB","days_per_month",0
"122",2015-06-01,2015,6,"critical","MC","days_per_month",0
"123",2015-06-01,2015,6,"critical","ROB","days_per_month",0
"124",2016-06-01,2016,6,"critical","LOB","days_per_month",0
"125",2016-06-01,2016,6,"critical","MC","days_per_month",0
"126",2016-06-01,2016,6,"critical","ROB","days_per_month",0
"127",2010-07-01,2010,7,"non_critical","LOB","days_per_month",25
"128",2010-07-01,2010,7,"non_critical","MC","days_per_month",26
"129",2010-07-01,2010,7,"non_critical","ROB","days_per_month",25
"130",2011-07-01,2011,7,"non_critical","LOB","days_per_month",31
"131",2011-07-01,2011,7,"non_critical","MC","days_per_month",31
"132",2011-07-01,2011,7,"non_critical","ROB","days_per_month",31
