"","month","water_year","position","days_per_month_low","days_per_month_medium","days_per_month_high"
"1",1,2010,"LOB",0,0,0
"2",1,2010,"MC",2,1,0
"3",1,2010,"ROB",2,0,0
"4",1,2011,"LOB",0,0,0
"5",1,2011,"MC",2,2,0
"6",1,2011,"ROB",2,2,1
"7",1,2012,"LOB",0,0,0
"8",1,2012,"MC",2,1,0
"9",1,2012,"ROB",2,1,1
"10",1,2013,"LOB",0,0,0
"11",1,2013,"MC",0,0,0
"12",1,2013,"ROB",0,0,0
"13",1,2014,"LOB",0,0,0
"14",1,2014,"MC",2,2,0
"15",1,2014,"ROB",2,2,0
"16",1,2015,"LOB",2,2,2
"17",1,2015,"MC",4,4,2
"18",1,2015,"ROB",4,3,2
"19",1,2016,"LOB",6,6,6
"20",1,2016,"MC",8,9,6
"21",1,2016,"ROB",8,9,7
"22",2,2010,"LOB",1,1,1
"23",2,2010,"MC",7,4,1
"24",2,2010,"ROB",7,2,2
"25",2,2011,"LOB",0,0,0
"26",2,2011,"MC",0,0,0
"27",2,2011,"ROB",0,0,0
"28",2,2012,"LOB",0,0,0
"29",2,2012,"MC",3,0,0
"30",2,2012,"ROB",3,0,0
"31",2,2013,"LOB",2,2,2
"32",2,2013,"MC",2,2,2
"33",2,2013,"ROB",2,2,3
"34",2,2014,"LOB",0,0,0
"35",2,2014,"MC",2,0,0
"36",2,2014,"ROB",2,0,0
"37",2,2015,"LOB",0,0,0
"38",2,2015,"MC",2,1,0
"39",2,2015,"ROB",2,1,1
"40",2,2016,"LOB",3,3,3
"41",2,2016,"MC",6,4,3
"42",2,2016,"ROB",6,3,3
"43",3,2010,"LOB",2,2,2
"44",3,2010,"MC",7,4,2
"45",3,2010,"ROB",7,4,2
"46",3,2011,"LOB",1,1,1
"47",3,2011,"MC",3,2,1
"48",3,2011,"ROB",3,2,1
"49",3,2012,"LOB",0,0,0
"50",3,2012,"MC",1,1,0
"51",3,2012,"ROB",1,1,0
"52",3,2013,"LOB",1,1,1
"53",3,2013,"MC",2,1,1
"54",3,2013,"ROB",2,1,1
"55",3,2014,"LOB",0,0,0
"56",3,2014,"MC",1,1,0
"57",3,2014,"ROB",1,1,0
"58",3,2015,"LOB",0,0,0
"59",3,2015,"MC",3,3,0
"60",3,2015,"ROB",3,3,3
"61",3,2016,"LOB",0,0,0
"62",3,2016,"MC",0,0,0
"63",3,2016,"ROB",0,0,0
"64",4,2010,"LOB",0,0,0
"65",4,2010,"MC",0,0,0
"66",4,2010,"ROB",0,0,0
"67",4,2011,"LOB",0,0,0
"68",4,2011,"MC",3,4,0
"69",4,2011,"ROB",3,3,1
"70",4,2012,"LOB",0,0,0
"71",4,2012,"MC",0,0,0
"72",4,2012,"ROB",0,0,0
"73",4,2013,"LOB",0,0,0
"74",4,2013,"MC",1,0,0
"75",4,2013,"ROB",1,0,0
"76",4,2014,"LOB",0,0,0
"77",4,2014,"MC",1,0,0
"78",4,2014,"ROB",1,0,0
"79",4,2015,"LOB",0,0,0
"80",4,2015,"MC",1,0,0
"81",4,2015,"ROB",1,0,0
"82",4,2016,"LOB",0,0,0
"83",4,2016,"MC",0,0,0
"84",4,2016,"ROB",0,0,0
"85",5,2010,"LOB",0,0,0
"86",5,2010,"MC",3,0,0
"87",5,2010,"ROB",3,0,0
"88",5,2011,"LOB",0,0,0
"89",5,2011,"MC",0,0,0
"90",5,2011,"ROB",0,0,0
"91",5,2012,"LOB",0,0,0
"92",5,2012,"MC",1,0,0
"93",5,2012,"ROB",1,0,0
"94",5,2013,"LOB",0,0,0
"95",5,2013,"MC",0,0,0
"96",5,2013,"ROB",0,0,0
"97",5,2014,"LOB",0,0,0
"98",5,2014,"MC",3,2,0
"99",5,2014,"ROB",3,1,0
"100",5,2015,"LOB",0,0,0
"101",5,2015,"MC",0,0,0
"102",5,2015,"ROB",0,0,0
"103",5,2016,"LOB",0,0,0
"104",5,2016,"MC",1,0,0
"105",5,2016,"ROB",1,0,0
"106",6,2010,"LOB",0,0,0
"107",6,2010,"MC",0,0,0
"108",6,2010,"ROB",0,0,0
"109",6,2011,"LOB",0,0,0
"110",6,2011,"MC",0,0,0
"111",6,2011,"ROB",0,0,0
"112",6,2012,"LOB",0,0,0
"113",6,2012,"MC",0,0,0
"114",6,2012,"ROB",0,0,0
"115",6,2013,"LOB",0,0,0
"116",6,2013,"MC",0,0,0
"117",6,2013,"ROB",0,0,0
"118",6,2014,"LOB",0,0,0
"119",6,2014,"MC",0,0,0
"120",6,2014,"ROB",0,0,0
"121",6,2015,"LOB",0,0,0
"122",6,2015,"MC",0,0,0
"123",6,2015,"ROB",0,0,0
"124",6,2016,"LOB",0,0,0
"125",6,2016,"MC",0,0,0
"126",6,2016,"ROB",0,0,0
"127",7,2010,"LOB",0,0,0
"128",7,2010,"MC",0,0,0
"129",7,2010,"ROB",0,0,0
"130",7,2011,"LOB",0,0,0
"131",7,2011,"MC",0,0,0
"132",7,2011,"ROB",0,0,0
"133",7,2012,"LOB",0,0,0
"134",7,2012,"MC",0,0,0
"135",7,2012,"ROB",0,0,0
"136",7,2013,"LOB",0,0,0
"137",7,2013,"MC",0,0,0
"138",7,2013,"ROB",0,0,0
"139",7,2014,"LOB",0,0,0
"140",7,2014,"MC",0,0,0
"141",7,2014,"ROB",0,0,0
"142",7,2015,"LOB",0,0,0
"143",7,2015,"MC",0,0,0
"144",7,2015,"ROB",0,0,0
"145",7,2016,"LOB",0,0,0
"146",7,2016,"MC",0,0,0
"147",7,2016,"ROB",0,0,0
"148",8,2010,"LOB",0,0,0
"149",8,2010,"MC",0,0,0
"150",8,2010,"ROB",0,0,0
"151",8,2011,"LOB",0,0,0
"152",8,2011,"MC",0,0,0
"153",8,2011,"ROB",0,0,0
"154",8,2012,"LOB",0,0,0
"155",8,2012,"MC",0,0,0
"156",8,2012,"ROB",0,0,0
"157",8,2013,"LOB",0,0,0
"158",8,2013,"MC",0,0,0
"159",8,2013,"ROB",0,0,0
"160",8,2014,"LOB",0,0,0
"161",8,2014,"MC",0,0,0
"162",8,2014,"ROB",0,0,0
"163",8,2015,"LOB",0,0,0
"164",8,2015,"MC",0,0,0
"165",8,2015,"ROB",0,0,0
"166",8,2016,"LOB",0,0,0
"167",8,2016,"MC",0,0,0
"168",8,2016,"ROB",0,0,0
"169",9,2010,"LOB",0,0,0
"170",9,2010,"MC",0,0,0
"171",9,2010,"ROB",0,0,0
"172",9,2011,"LOB",0,0,0
"173",9,2011,"MC",0,0,0
"174",9,2011,"ROB",0,0,0
"175",9,2012,"LOB",0,0,0
"176",9,2012,"MC",0,0,0
"177",9,2012,"ROB",0,0,0
"178",9,2013,"LOB",0,0,0
"179",9,2013,"MC",0,0,0
"180",9,2013,"ROB",0,0,0
"181",9,2014,"LOB",0,0,0
"182",9,2014,"MC",0,0,0
"183",9,2014,"ROB",0,0,0
"184",9,2015,"LOB",0,0,0
"185",9,2015,"MC",0,0,0
"186",9,2015,"ROB",0,0,0
"187",9,2016,"LOB",0,0,0
"188",9,2016,"MC",0,0,0
"189",9,2016,"ROB",0,0,0
"190",10,2010,"LOB",0,0,0
"191",10,2010,"MC",3,2,0
"192",10,2010,"ROB",3,2,0
"193",10,2011,"LOB",1,1,1
"194",10,2011,"MC",1,1,1
