"","season","position","water_year","Probability_Threshold","value"
"1","non_critical","MC",2010,"Low",3.19671195341934
"2","critical","MC",2010,"Low",3.19671195341934
"3","non_critical","MC",2011,"Low",1.42304189435337
"4","critical","MC",2011,"Low",1.42304189435337
"5","non_critical","MC",2012,"Low",0.970319634703196
"6","critical","MC",2012,"Low",0.970319634703196
"7","non_critical","MC",2013,"Low",0.67351598173516
"8","critical","MC",2013,"Low",0.67351598173516
"9","non_critical","MC",2014,"Low",1.32420091324201
"10","critical","MC",2014,"Low",1.32420091324201
"11","non_critical","MC",2015,"Low",1.05874316939891
"12","critical","MC",2015,"Low",1.05874316939891
"13","non_critical","MC",2016,"Low",2.8310502283105
"14","critical","MC",2016,"Low",2.8310502283105
"15","non_critical","MC",2010,"Medium",1.90661034364654
"16","critical","MC",2010,"Medium",1.90661034364654
"17","non_critical","MC",2011,"Medium",0.717213114754098
"18","critical","MC",2011,"Medium",0.717213114754098
"19","non_critical","MC",2012,"Medium",0.342465753424658
"20","critical","MC",2012,"Medium",0.342465753424658
"21","non_critical","MC",2013,"Medium",0.399543378995434
"22","critical","MC",2013,"Medium",0.399543378995434
"23","non_critical","MC",2014,"Medium",0.582191780821918
"24","critical","MC",2014,"Medium",0.582191780821918
"25","non_critical","MC",2015,"Medium",0.535063752276867
"26","critical","MC",2015,"Medium",0.535063752276867
"27","non_critical","MC",2016,"Medium",1.70091324200913
"28","critical","MC",2016,"Medium",1.70091324200913
"29","non_critical","MC",2010,"High",1.52985500627926
"30","critical","MC",2010,"High",1.52985500627926
"31","non_critical","MC",2011,"High",0.432604735883424
"32","critical","MC",2011,"High",0.432604735883424
"33","non_critical","MC",2012,"High",0.148401826484018
"34","critical","MC",2012,"High",0.148401826484018
"35","non_critical","MC",2013,"High",0.319634703196347
"36","critical","MC",2013,"High",0.319634703196347
"37","non_critical","MC",2014,"High",0.319634703196347
"38","critical","MC",2014,"High",0.319634703196347
"39","non_critical","MC",2015,"High",0.387067395264117
"40","critical","MC",2015,"High",0.387067395264117
"41","non_critical","MC",2016,"High",1.1986301369863
"42","critical","MC",2016,"High",1.1986301369863
"43","non_critical","MC",2010,"Low.Seasonal",6.27433020380124
"44","critical","MC",2010,"Low.Seasonal",0.136612021857924
"45","non_critical","MC",2011,"Low.Seasonal",2.09471766848816
"46","critical","MC",2011,"Low.Seasonal",0.751366120218579
"47","non_critical","MC",2012,"Low.Seasonal",1.90018315018315
"48","critical","MC",2012,"Low.Seasonal",0.0455373406193078
"49","non_critical","MC",2013,"Low.Seasonal",1.30494505494505
"50","critical","MC",2013,"Low.Seasonal",0.0455373406193078
"51","non_critical","MC",2014,"Low.Seasonal",2.28937728937729
"52","critical","MC",2014,"Low.Seasonal",0.364298724954463
"53","non_critical","MC",2015,"Low.Seasonal",2.04918032786885
"54","critical","MC",2015,"Low.Seasonal",0.0683060109289618
"55","non_critical","MC",2016,"Low.Seasonal",5.60897435897436
"56","critical","MC",2016,"Low.Seasonal",0.0683060109289618
"57","non_critical","MC",2010,"Medium.Seasonal",3.82413556217083
"58","critical","MC",2010,"Medium.Seasonal",0
"59","non_critical","MC",2011,"Medium.Seasonal",1.11566484517304
"60","critical","MC",2011,"Medium.Seasonal",0.318761384335155
"61","non_critical","MC",2012,"Medium.Seasonal",0.686813186813187
"62","critical","MC",2012,"Medium.Seasonal",0
"63","non_critical","MC",2013,"Medium.Seasonal",0.801282051282051
"64","critical","MC",2013,"Medium.Seasonal",0
"65","non_critical","MC",2014,"Medium.Seasonal",1.0989010989011
"66","critical","MC",2014,"Medium.Seasonal",0.0683060109289618
"67","non_critical","MC",2015,"Medium.Seasonal",1.07012750455373
"68","critical","MC",2015,"Medium.Seasonal",0
"69","non_critical","MC",2016,"Medium.Seasonal",3.41117216117216
"70","critical","MC",2016,"Medium.Seasonal",0
"71","non_critical","MC",2010,"High.Seasonal",3.0684680558736
"72","critical","MC",2010,"High.Seasonal",0
"73","non_critical","MC",2011,"High.Seasonal",0.705828779599271
"74","critical","MC",2011,"High.Seasonal",0.159380692167577
"75","non_critical","MC",2012,"High.Seasonal",0.297619047619048
"76","critical","MC",2012,"High.Seasonal",0
"77","non_critical","MC",2013,"High.Seasonal",0.641025641025641
"78","critical","MC",2013,"High.Seasonal",0
"79","non_critical","MC",2014,"High.Seasonal",0.641025641025641
"80","critical","MC",2014,"High.Seasonal",0
"81","non_critical","MC",2015,"High.Seasonal",0.774134790528233
"82","critical","MC",2015,"High.Seasonal",0
"83","non_critical","MC",2016,"High.Seasonal",2.40384615384615
"84","critical","MC",2016,"High.Seasonal",0
