"","season","position","water_year","Probability_Threshold","value"
"1","non_critical","MC",2010,"Low",14.6380452158027
"2","critical","MC",2010,"Low",14.6380452158027
"3","non_critical","MC",2011,"Low",5.21402550091075
"4","critical","MC",2011,"Low",5.21402550091075
"5","non_critical","MC",2012,"Low",7.40867579908676
"6","critical","MC",2012,"Low",7.40867579908676
"7","non_critical","MC",2013,"Low",1.99771689497717
"8","critical","MC",2013,"Low",1.99771689497717
"9","non_critical","MC",2014,"Low",3.51598173515982
"10","critical","MC",2014,"Low",3.51598173515982
"11","non_critical","MC",2015,"Low",2.67531876138434
"12","critical","MC",2015,"Low",2.67531876138434
"13","non_critical","MC",2016,"Low",17.8082191780822
"14","critical","MC",2016,"Low",17.8082191780822
"15","non_critical","LOB",2010,"Low",0.125599451929664
"16","critical","LOB",2010,"Low",0.125599451929664
"17","non_critical","LOB",2011,"Low",0.0341530054644809
"18","critical","LOB",2011,"Low",0.0341530054644809
"19","non_critical","LOB",2012,"Low",0
"20","critical","LOB",2012,"Low",0
"21","non_critical","LOB",2013,"Low",0.0570776255707763
"22","critical","LOB",2013,"Low",0.0570776255707763
"23","non_critical","LOB",2014,"Low",0.0342465753424658
"24","critical","LOB",2014,"Low",0.0342465753424658
"25","non_critical","LOB",2015,"Low",0.0341530054644809
"26","critical","LOB",2015,"Low",0.0341530054644809
"27","non_critical","LOB",2016,"Low",0.136986301369863
"28","critical","LOB",2016,"Low",0.136986301369863
"29","non_critical","ROB",2010,"Low",0.0114181319936058
"30","critical","ROB",2010,"Low",0.0114181319936058
"31","non_critical","ROB",2011,"Low",0.011384335154827
"32","critical","ROB",2011,"Low",0.011384335154827
"33","non_critical","ROB",2012,"Low",0
"34","critical","ROB",2012,"Low",0
"35","non_critical","ROB",2013,"Low",0
"36","critical","ROB",2013,"Low",0
"37","non_critical","ROB",2014,"Low",0
"38","critical","ROB",2014,"Low",0
"39","non_critical","ROB",2015,"Low",0
"40","critical","ROB",2015,"Low",0
"41","non_critical","ROB",2016,"Low",0.0228310502283105
"42","critical","ROB",2016,"Low",0.0228310502283105
"43","non_critical","MC",2010,"Medium",5.02397807718657
"44","critical","MC",2010,"Medium",5.02397807718657
"45","non_critical","MC",2011,"Medium",2.15163934426229
"46","critical","MC",2011,"Medium",2.15163934426229
"47","non_critical","MC",2012,"Medium",3.00228310502283
"48","critical","MC",2012,"Medium",3.00228310502283
"49","non_critical","MC",2013,"Medium",1.22146118721461
"50","critical","MC",2013,"Medium",1.22146118721461
"51","non_critical","MC",2014,"Medium",2.1689497716895
"52","critical","MC",2014,"Medium",2.1689497716895
"53","non_critical","MC",2015,"Medium",1.69626593806922
"54","critical","MC",2015,"Medium",1.69626593806922
"55","non_critical","MC",2016,"Medium",4.76027397260274
"56","critical","MC",2016,"Medium",4.76027397260274
"57","non_critical","LOB",2010,"Medium",0.0685087919616351
"58","critical","LOB",2010,"Medium",0.0685087919616351
"59","non_critical","LOB",2011,"Medium",0.011384335154827
"60","critical","LOB",2011,"Medium",0.011384335154827
"61","non_critical","LOB",2012,"Medium",0
"62","critical","LOB",2012,"Medium",0
"63","non_critical","LOB",2013,"Medium",0.045662100456621
"64","critical","LOB",2013,"Medium",0.045662100456621
"65","non_critical","LOB",2014,"Medium",0.0114155251141553
"66","critical","LOB",2014,"Medium",0.0114155251141553
"67","non_critical","LOB",2015,"Medium",0.0227686703096539
"68","critical","LOB",2015,"Medium",0.0227686703096539
"69","non_critical","LOB",2016,"Medium",0.091324200913242
"70","critical","LOB",2016,"Medium",0.091324200913242
"71","non_critical","ROB",2010,"Medium",0.0114181319936058
"72","critical","ROB",2010,"Medium",0.0114181319936058
"73","non_critical","ROB",2011,"Medium",0
"74","critical","ROB",2011,"Medium",0
