"","water_year","days_per_water_year","suitablility"
"1",2010,1016,"No"
"2",2011,921,"No"
"3",2012,992,"No"
"4",2013,814,"No"
"5",2014,755,"No"
"6",2015,760,"No"
"7",2016,812,"No"
